"t","\chi","\alpha","x","y","z","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","\dot k_x","\dot k_y","\dot k_z","\ddot k_x","\ddot k_y","\ddot k_z","s_x","s_y","s_z","\dot s_x","\dot s_y","\dot s_z","L_x","L_y","L_z","\dot L_x","\dot L_y","\dot L_z","J_x","J_y","J_z","\dot J_x","\dot J_y","\dot J_z"
0.,-1,"1/2",3.46,-10.,0.,-0.10051831173981456,1.290515351849175,-0.0448856280252379,-0.00582923582220172,0.056352322375096076,-0.05393474147319961,0.,0.15,0.,0.0020198532611357053,-0.0014799959105158585,0.,0.0021877663182829693,-0.000384373722683012,0.,0.,-0.5,0.,-0.0067328442037856845,0.,0.,0.,0.,0.519,0.0067328442037856845,0.,0.,0.,-0.5,0.519,0.,0.,0.
0.13333333333333333,-1,"1/2",3.4465844389934377,-9.827805430101796,-0.0061067881063727476,-0.10071605810824465,1.292406808530589,-0.046731513440173816,-0.0015082032325349558,0.014290878537499876,-0.014237696534007216,0.000274260379087752,0.14980182548362547,0.,0.002094646617590389,-0.0014925191504418032,0.,0.0005762428031592144,-0.00009148272062590655,0.,-0.0009154091365571296,-0.4999991620254105,0.,-0.007000477468974179,0.000012816623550732445,0.,0.00091480800617633,-1.6748500210623646e-6,0.5190000182875345,0.006991351522754165,-0.000025608165642801338,-2.1921768637855887e-7,-6.011303807996115e-7,-0.5000008368754316,0.5190000182875345,-9.125946220013385e-6,-0.000012791542092068893,-2.1921768637855887e-7
0.26666666666666666,-1,"1/2",3.4331420805087345,-9.655356907344661,-0.012466513852517402,-0.10092040747393431,1.2943253408306534,-0.048681677991259,-0.0015578257076796621,0.014487494749858445,-0.01502586281270425,0.0005587581594686254,0.14960202510509402,0.,0.002173492932955001,-0.001504367387279881,0.,0.0006068871083447212,-0.00008607180197096007,0.,-0.0018674689122398192,-0.4999965125476995,0.,-0.007282876325707336,0.000027201279986224444,0.,0.0018650157183373109,-6.965766335222747e-6,0.519000017172183,0.007264123396133631,-0.00005429716455127236,3.084372835956972e-8,-2.453193902508333e-6,-0.5000034783140347,0.519000017172183,-0.00001875292957370482,-0.000027095884565047916,3.084372835956972e-8
0.4,-1,"1/2",3.419672022407377,-9.482650829273567,-0.01909344220208441,-0.10113165926137833,1.2962702269423705,-0.05074114126117187,-0.0016117264571400569,0.01468523224448726,-0.0158777562386205,0.0008540480456305742,0.14940069585125898,0.,0.0022565906409098236,-0.0015154290257094563,0.,0.0006400413681044027,-0.00007962970472023317,0.,-0.0028581998453560964,-0.49999183062690533,0.,-0.007580763045188993,0.00004333537957264787,0.,0.0028525735511872054,-0.00001630671699705052,0.5190000191388825,0.007551827056192362,-0.00008642145550314507,-2.64489797667522e-8,-5.626294168890964e-6,-0.5000081373439024,0.5190000191388825,-0.000028935988996631017,-0.0000430860759304972,-2.64489797667522e-8
0.5333333333333333,-1,"1/2",3.406173305350889,-9.30968368421198,-0.02600273437765154,-0.10135036910709824,1.2982412894451236,-0.05291830078771292,-0.0016693175195105537,0.014880128495340888,-0.016784930912793282,0.0011607201051963992,0.14919795267733355,0.,0.00234427175811103,-0.001525553918024068,0.,0.0006753917717377672,-0.00007211782167010141,0.,-0.003889748351488974,-0.499984869628834,0.,-0.007895303613348047,0.00006142334714513264,0.,0.003879554733158129,-0.00003018189658222172,0.5190000206478225,0.00785563356338093,-0.00012238081149232012,-3.483352804117823e-8,-0.00001019361833084478,-0.5000150515254163,0.5190000206478225,-0.00003967004996711758,-0.000060957464347187484,-3.483352804117823e-8
0.6666666666666666,-1,"1/2",3.3926449004393002,-9.136452011838378,-0.033210592282946885,-0.10157708445081289,1.3002380403749483,-0.05522120452745977,-0.0017314383784087705,0.015070776354501048,-0.01775830887488691,0.0014794057571426733,0.14899393061896768,0.,0.0024368574941555647,-0.0015345805975024171,0.,0.0007133899694257706,-0.00006325855216798866,0.,-0.004964406363104999,-0.49997535406203975,0.,-0.008227624478480513,0.0000816945695069982,0.,0.004948176682420212,-0.00004913194142150966,0.519000018617019,0.008176659985511191,-0.00016262404858432113,-4.199116675901449e-9,-0.000016229680684787598,-0.5000244860034613,0.519000018617019,-0.00005096449296932218,-0.00008092947907732293,-4.199116675901449e-9
0.8,-1,"1/2",3.379085700338125,-8.962952428419372,-0.04073435774901614,-0.10181240414958617,1.3022598277541027,-0.05765842667331266,-0.0017983571031906626,0.015256034332815662,-0.018800023312906373,0.0018107820860477854,0.14878878818413674,0.,0.002534693080758834,-0.0015423263518802711,0.,0.0007541438296232668,-0.000052927763499820804,0.,-0.006084625136178155,-0.4999629759661731,0.,-0.008578926752831425,0.00010440683784801105,0.,0.0060608157269352115,-0.00007376104529858022,0.5190000202191349,0.00851610175994287,-0.00020765594086532055,2.7579584574444205e-8,-0.000023809409242943856,-0.5000367370114717,0.5190000202191349,-0.00006282499288855388,-0.0001032491030173095,2.7579584574444205e-8
0.9333333333333333,-1,"1/2",3.365494514145268,-8.789181648554278,-0.04859254377614151,-0.10205700624819998,1.3043058127118239,-0.06023924943586577,-0.0018709149710142978,0.01543361511534222,-0.019916283192367986,0.002155573558878883,0.14858270960883588,0.,0.0026381556370308613,-0.0015485821378563459,0.,0.0007979497587631474,-0.0000408393411391971,0.,-0.007253020082623029,-0.49994739093196705,0.,-0.008950509968272947,0.00012985011968676477,0.,0.007220011821045079,-0.00010474480252251525,0.5190000216511836,0.00887526136065874,-0.00025804482657135853,5.077586569604553e-8,-0.000033008261577949574,-0.5000521357344896,0.5190000216511836,-0.0000752486076142072,-0.00012819470688459376,5.077586569604553e-8
1.0666666666666667,-1,"1/2",3.3518700543743227,-8.615136514288087,-0.056804957629110316,-0.10231164828063292,1.306374929979476,-0.06297364527094516,-0.0019494621157672147,0.015602198135681984,-0.021109809242277122,0.002514557509598792,0.14837590918505172,0.,0.0027476548602629273,-0.0015531090264933117,0.,0.0008449519094380054,-0.000026832882045083867,0.,-0.00847238780473277,-0.4999282134915834,0.,-0.0093437711881693,0.00015835084103768549,0.,0.008428487234437584,-0.00014283933278872056,0.5190000230061608,0.00925554757933008,-0.00031443127053952026,6.335383925457072e-8,-0.00004390057029518557,-0.5000710528243721,0.5190000230061608,-0.00008822360883922048,-0.00015608042950183477,6.335383925457072e-8
1.2,-1,"1/2",3.338210929410902,-8.440814022801243,-0.0653927488190116,-0.10257715988189922,1.3084658716833464,-0.06587202794741177,-0.0020356143449056256,0.01575801565926582,-0.022395698938746253,0.002888566774028232,0.14816863443534822,0.,0.0028636246979020967,-0.0015556394866486566,0.,0.0008958409486897013,-0.000010344060019626169,0.,-0.009745713142922129,-0.4999050120526257,0.,-0.00976017317255138,0.00019027584375352641,0.,0.009689154294486678,-0.00018889132150097082,0.5190000097999832,0.009658440886251746,-0.0003775360418485826,-3.7976313514015425e-8,-0.000056558848435450323,-0.5000939033741267,0.5190000097999832,-0.00010173228629963352,-0.00018726019809505617,-3.7976313514015425e-8
