"\alpha","\rho_p/\rho_t","\varphi from trajectories","\varphi numerical integration","\varphi approx."
0.5,2.226681601965256,1.7193881065391459,1.719388280161442,0.8981975616405758
0.5,2.65871032686514,1.2358642062864609,1.2358641912350574,0.7522444116123462
0.5,3.1111441671747664,0.9593820031671395,0.959381870547726,0.6428503077028372
0.5,3.6015825722684514,0.7737475415791032,0.7737473913263955,0.5553114449171451
0.5,4.140970290398341,0.6386783935418221,0.6386782211566846,0.4829785977858047
0.5,4.7386085868982795,0.5355091902880069,0.5355089443990022,0.42206482300939097
0.5,5.403605617459135,0.45410158379848165,0.4541013577438582,0.3701232296521152
0.5,6.145487680201014,0.3883570896942533,0.3883569598160652,0.32544203436181196
0.5,6.974542428182913,0.3343338982227912,0.3343337244257576,0.2867571603048844
0.5,7.902062669703026,0.2893447654101121,0.28934501037905136,0.25309847542190844
0.5,8.940554227040295,0.2514816499334758,0.2514819161559596,0.22369977777250025
0.5,10.103935327887532,0.2193432511567711,0.2193433565421481,0.19794267628815077
0.5,11.407741394329195,0.19187318443707338,0.19187319456058116,0.17531953979341644
0.5,12.869343957230194,0.16825731143044262,0.16825734689614968,0.15540808068836667
0.5,14.508189411515414,0.14785670551005897,0.14785670742970458,0.13785317561848515
0.5,16.34606263662527,0.13016140196427267,0.13016135355923897,0.12235362493513814
0.5,18.407379673101413,0.1147593420722285,0.1147592551883907,0.10865207375476106
0.5,20.719514586619297,0.10131344074447889,0.10131336463206164,0.09652735912002139
0.5,23.313164269983943,0.08954523397709198,0.08954512208377174,0.08578843885482154
0.5,26.222757420926303,0.07922265544327425,0.07922257399022481,0.07626962733911305
0.5,29.486912067600954,0.07015078059636877,0.0701507296022088,0.06782670009448417
0.5,33.1489489255138,0.06216475990662303,0.06216480852050488,0.06033373705467754
0.5,37.25746671338397,0.05512445421497085,0.05512448344858001,0.053680513541098075
0.5,41.86698730840841,0.0489098826255207,0.04891003747633382,0.04777033413180579
0.5,47.03867969720334,0.043418153478330515,0.043418358147103486,0.0425181991708207
