"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^{(+)}","k_\rho^{(-)}","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
0,"1/2",1,1,1,1.0001,0.,0.,1.0001,0.,0.00004999625031243404,0.,0.,0.00010000752577342124,0.,0.,0.7071067811865475,0.,0.,0.7071067811865475,0.,0.7071067811857249,-0.00001767678570137269,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535268762977495
0.,"1/2",1,1,1,1.0001,0.,0.,1.0001,0.,0.00004999625031243404,0.,0.,0.00010000752577342124,0.,0.,0.7071067811865475,0.,0.,0.7071067811865475,0.,0.7071067811857249,-0.00001767678570137269,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535268762977495
0.39603960396039606,"1/2",1,1,1,1.0001218966663388,0.,0.,1.0001218966663388,0.,0.00006094282923104642,0.,0.,0.0000304600631420584,0.,0.,0.580096671493512,0.,0.,0.580096671493512,0.,0.580096671493609,-0.000017676885242054887,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535269320587009
0.7920792079207921,"1/2",1,1,1,1.0001485874248677,0.,0.,1.0001485874248677,0.,0.00007428590313203602,0.,0.,0.000037129760644412694,0.,0.,0.47590338070842175,0.,0.,0.47590338070842175,0.,0.47590338070839044,-0.000017677001190695885,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.000035352689237655444
1.188118811881188,"1/2",1,1,1,1.000181121648273,0.,0.,1.000181121648273,0.,0.00009054821009427978,0.,0.,0.00004526138744334824,0.,0.,0.39042814788137786,0.,0.,0.39042814788137786,0.,0.39042814788146135,-0.00001767714659839818,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535269255722229
1.5841584158415842,"1/2",1,1,1,1.0002207782868202,0.,0.,1.0002207782868202,0.,0.0001103712380235835,0.,0.,0.000055163588322093394,0.,0.,0.320308199267353,0.,0.,0.320308199267353,0.,0.32030819926710236,-0.000017677322541525356,0.49999999999999994,0.,0.,0.,0.,0.,0.49999999999999994,0.,0.,0.00003535269402160646
1.9801980198019802,"1/2",1,1,1,1.000269115881868,0.,0.,1.000269115881868,0.,0.00013452832616295482,0.,0.,0.00006725196856292521,0.,0.,0.2627849278713929,0.,0.,0.2627849278713929,0.,0.2627849278715084,-0.00001767752083064314,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535266349047328
2.376237623762376,"1/2",1,1,1,1.000328034144358,0.,0.,1.000328034144358,0.,0.0001639796723078133,0.,0.,0.00008196989920135284,0.,0.,0.2155955972582084,0.,0.,0.2155955972582084,0.,0.21559559725809763,-0.0000176777799796234,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535266121468261
2.772277227722772,"1/2",1,1,1,1.0003998477115505,0.,0.,1.0003998477115505,0.,0.0001998600531141946,0.,0.,0.00009987160080977272,0.,0.,0.17688369379525526,0.,0.,0.17688369379525526,0.,0.17688369379525215,-0.000017678100946147216,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535266867776832
3.1683168316831685,"1/2",1,1,1,1.0004873768844225,0.,0.,1.0004873768844225,0.,0.00024360340519328645,0.,0.,0.00012176127931111155,0.,0.,0.14512618528445798,0.,0.,0.14512618528445798,0.,0.1451261852844677,-0.000017678479229334427,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.000035352651991699124
3.5643564356435644,"1/2",1,1,1,1.0005940585221327,0.,0.,1.0005940585221327,0.,0.0002968913756185686,0.,0.,0.00014828097803155273,0.,0.,0.1190738794628793,0.,0.,0.1190738794628793,0.,0.11907387946288285,-0.000017678962435254013,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.000035352676039837605
3.9603960396039604,"1/2",1,1,1,1.0007240773049526,0.,0.,1.0007240773049526,0.,0.0003618433509562242,0.,0.,0.0001809471473739096,0.,0.,0.09770152880576931,0.,0.,0.09770152880576931,0.,0.09770152880575655,-0.000017679464846330514,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.0000353525325168802
4.356435643564357,"1/2",1,1,1,1.0008825360448803,0.,0.,1.0008825360448803,0.,0.0004409896749702271,0.,0.,0.00022038770847431508,0.,0.,0.0801688698425156,0.,0.,0.0801688698425156,0.,0.08016886984250386,-0.000017680178491208555,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535256044519264
4.752475247524752,"1/2",1,1,1,1.0010756448408737,0.,0.,1.0010756448408737,0.,0.0005374102211993489,0.,0.,0.00026823038402371354,0.,0.,0.06578592418998729,0.,0.,0.06578592418998729,0.,0.06578592419000004,-0.00001768106449425835,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535262738019185
5.148514851485149,"1/2",1,1,1,1.0013109663016853,0.,0.,1.0013109663016853,0.,0.000654849851956032,0.,0.,0.00032622558838766934,0.,0.,0.05398680513801539,0.,0.,0.05398680513801539,0.,0.05398680513801607,-0.000017682132126291863,0.49999999999999994,0.,0.,0.,0.,0.,0.49999999999999994,0.,0.,0.000035352685296377584
5.544554455445544,"1/2",1,1,1,1.0015977063225736,0.,0.,1.0015977063225736,0.,0.0007978716169747818,0.,0.,0.0003975351118666288,0.,0.,0.04430729747945314,0.,0.,0.04430729747945314,0.,0.04430729747945624,-0.000017683388717773685,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535266790948011
5.9405940594059405,"1/2",1,1,1,1.0019470704513656,0.,0.,1.0019470704513656,0.,0.0009720779156331942,0.,0.,0.00048479750726425195,0.,0.,0.03636664985590055,0.,0.,0.03636664985590055,0.,0.03636664985589913,-0.00001768489465571616,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.00003535259754464115
6.336633663366337,"1/2",1,1,1,1.0023726904010453,0.,0.,1.0023726904010453,0.,0.0011841867621315333,0.,0.,0.0005907169766890382,0.,0.,0.029852480757602246,0.,0.,0.029852480757602246,0.,0.029852480757600226,-0.000017686697322515756,0.5,0.,0.,0.,0.,0.,0.5,0.,0.,0.0000353524493816558
