"k(0)","\rho_p/\rho_t","\varphi from trajectories"
0.,2.9022184225495966,1.0693603751935852
0.,3.214379849698349,0.913048772404052
0.,3.559907105993153,0.7865864759057033
0.,3.943254394351117,0.6822240782650012
0.,4.369200288122826,0.5948284304481912
0.,4.842972626354056,0.520812905372727
0.,5.370346878479364,0.45754993834318486
0.,5.9577420715933025,0.4030987885550872
0.,6.612310266872932,0.3559470033137251
0.,7.342042355698149,0.3149083860935871
0.,8.155867535055481,0.27905788981244567
0.,9.063777238472836,0.2476254889355457
0.,10.076954834162615,0.21998555097415093
0.,11.207922495395405,0.19561996811486046
0.,12.470705508266652,0.17409425116248708
0.,13.881014459408659,0.1550452096047155
0.,15.456451574641997,0.13816045907874244
0.,17.216741145025463,0.12316991780988107
0.,19.183984886294837,0.10985752913095108
0.,21.382953841082134,0.0980163151553873
0.,23.841414420904098,0.0874737775183493
0.,36.95185885685849,0.05559113032766936
0.,57.50375172828141,0.035379579266931895
0.,89.78919942095001,0.022517133066455808
0.,140.59520817799572,0.014326472311121923
0.,220.6589671497662,0.009103978099548063
0.,346.9732747343154,0.0057829830736368425
0.,546.4390138871619,0.003668015485256077
0.,861.6523629341565,0.0023247437687771277
0.,1360.074757771372,0.0014731127531957067
0.,2148.5637740317743,0.0009322779999656384
0.,3396.399400920874,0.0005902353741898754
0.,5371.775074613618,0.00037277403067968284
0.,8499.625077731507,0.0002357848085987163
0.,13453.270653778185,0.00014951080257885062
0.,21299.658553213954,0.00009545477423710447
0.,33729.53924952185,0.00005941477576565508
0.,53422.262713991,0.000038035293054502774
0.,84623.92886816201,0.000023029213337962966
0.,134063.64649540815,0.000015939537311639505
0.,212405.7366724823,8.614517737019397e-6
0.,336551.2332058918,5.384842816597736e-6
0.,533285.4437625161,2.76203209960608e-6
0.,845059.0750605685,2.8711066537669377e-6
0.,1.339150386684414e6,1.4459211876025342e-6
0.,2.1221861776106954e6,1.9507883406786645e-6
0.01,2.9021962658282847,1.069298821451832
0.01,3.214357074482015,0.9130048565376737
0.01,3.559884071399576,0.7865517827026057
0.01,3.9432312541348957,0.682195224599881
0.01,4.36917709508525,0.5948028467445856
0.01,4.84294938164536,0.5207867730053611
0.01,5.370323552923563,0.4575310883503275
0.01,5.957718621151715,0.40307988933695743
0.01,6.612286637799234,0.35592495561453763
0.01,7.342018486993881,0.31489028982024225
0.01,8.155843361559311,0.27903916802932055
0.01,9.06375269120124,0.2476095370768875
0.01,10.076929842651813,0.21996867054790392
0.01,11.20789698365134,0.19560542806932352
0.01,12.47067939847513,0.17408076127467378
0.01,13.880987671013063,0.15503252001911433
0.01,15.456424024369353,0.1381469997454522
0.01,17.21671274360847,0.12316071203492507
0.01,19.18395554097344,0.10985076037012124
0.01,21.382923453886395,0.09800687476508785
0.01,23.841382967505133,0.08746526308468477
0.01,36.951821666963816,0.055583950136701865
0.01,57.503706665541124,0.03537593509642159
0.01,89.78914275074997,0.022517243024275144
0.01,140.5951362122199,0.014324387119293232
0.01,220.65887979067102,0.009102935563223353
0.01,346.9731689471019,0.005779122818516015
0.01,546.4388640940145,0.0036672145993813412
0.01,861.6522137595181,0.002323809297553851
0.01,1360.0745796637962,0.0014678101125928532
0.01,2148.563499952228,0.0009321158386836341
0.01,3396.399142494422,0.0005891325679125352
0.01,5371.775056320492,0.0003739859612563721
0.01,8499.624694810165,0.00023566981027477697
0.01,13453.270741148945,0.0001498967185849444
0.01,21299.65743246688,0.00009420600653357007
0.01,33729.5372312423,0.000060289390950150425
0.01,53422.26089445086,0.00003791142439793839
0.01,84623.92456292664,0.000022433533925253534
0.01,134063.64790326264,0.000014877480635988796
0.01,212405.741139538,9.379703329639256e-6
0.01,336551.234278405,6.289350934853682e-6
0.01,533285.4579202419,4.426801563663088e-6
0.01,845059.1078417952,2.5542040759758193e-6
0.01,1.3391504405698467e6,1.5632626523919352e-6
0.01,2.122186124031409e6,9.91678161780653e-7
0.1,2.898411985461137,1.0558891658128196
0.1,3.210310017663622,0.9027141476827231
0.1,3.555629170515174,0.7782762650035804
0.1,3.938793135016966,0.6752901613625722
0.1,4.364564105721233,0.5888709586072872
0.1,4.838160131481993,0.5155781297499155
0.1,5.365351828068947,0.4528871716830169
0.1,5.9525537562455755,0.3988963447400583
0.1,6.606916963479175,0.35213408359970005
0.1,7.33642775342832,0.3114416507360024
0.1,8.150014955390985,0.2758903442620666
0.1,9.057668255675,0.24472685429366559
0.1,10.070569611343188,0.2173321028467556
0.1,11.201240230958682,0.19319064889637025
0.1,12.463703526486709,0.17187192080758942
0.1,13.873669441361471,0.15301232944545898
0.1,15.448737961115478,0.13630274654867292
0.1,17.208631158404835,0.12148027304034129
0.1,19.175452049748607,0.10831326133788258
0.1,21.373968840505782,0.09660790811229852
0.1,23.831944760167225,0.08619248323880319
0.1,36.94009563302817,0.054721837622222935
0.1,57.48902710355154,0.03479662119818114
0.1,89.77067951490596,0.02213390286841923
0.1,140.57185649140052,0.01407151057837848
0.1,220.6294797830897,0.008939441333850502
0.1,346.9360108620532,0.005674082657808132
0.1,546.3919212160591,0.0035992984004876993
0.1,861.5928542857027,0.002280079673073219
0.1,1359.9996340750406,0.0014436543378640364
0.1,2148.468807431728,0.0009142292565711547
0.1,3396.279841807657,0.0005777148199500655
0.1,5371.624228905145,0.00036522981625566897
0.1,8499.434804816234,0.00023073013980834487
0.1,13453.0309659778,0.0001465254528917592
0.1,21299.355463611784,0.00009210785428081237
0.1,33729.15928863179,0.00005721243265060243
0.1,53421.78266500323,0.00003742252313140543
