"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^(+)","k_\rho^(-)","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
10.945273631840797,"1/2",1,1,1,-0.7185429856633871,-1.3166946399472814,-3.648426098667142,1.4999962656993369,-2.070345497159163,0.5067868674055629,-0.27658593333380754,-0.3333338609162732,0.1064340152224774,0.19503136109274946,-1.9730705346374648e-7,0.0667829386897128,-0.573474734556679,0.,0.47140430489593105,-0.4527305424592444,0.471408691356775,0.47140430496276464,0.05783573022920485,-0.49664376398869103,0.,-2.0922801884827993,-0.24365261646123584,0.4999989853835473,-2.0344444582535943,-0.7402963804499268,0.4999989853835473,0.19244969920341992
11.044776119402986,"1/2",1,1,1,-0.6676015515000061,-1.3432428864827464,-3.6815936480086897,1.4999977612155677,-2.0320469296038284,0.5170152805768796,-0.2569608191673406,-0.33333388099884426,0.09915708952098712,0.19943343365323596,-2.06352624033446e-7,0.08869196460680792,-0.5704977587358036,0.,0.4714048122485896,-0.4661175234640447,0.47140782145048954,0.4714048123615934,0.07680942257033387,-0.49406508944106936,0.,-2.1003409247649287,-0.32652777352583556,0.5000000394055729,-2.023531502194595,-0.8205928629669049,0.5000000394055729,0.19245010489709774
11.144278606965175,"1/2",1,1,1,-0.6156796499612854,-1.3678183994515347,-3.714761199396399,1.4999962017467274,-1.9937483578184503,0.5264836488166114,-0.23695501094623886,-0.3333339020067487,0.09120129562659297,0.20262334521556397,-2.14453259072584e-7,0.1104707403578165,-0.5666829295705876,0.,0.4714043609869601,-0.47881995191173166,0.4714088745867183,0.47140436100079014,0.0956704684132488,-0.49076181745688974,0.,-2.105091759129101,-0.4103724199498106,0.4999990589795098,-2.0094212907158524,-0.9011342374067004,0.4999990589795098,0.19244972753053902
11.243781094527364,"1/2",1,1,1,-0.5628547874701457,-1.390387790469061,-3.747928752907351,1.49999457321135,-1.955449723212063,0.5351649285827705,-0.21663788072949197,-0.3333339236723846,0.08329242767320481,0.2057509721410484,-2.2102602269429314e-7,0.13208748847093718,-0.5620369775140849,0.,0.47140388952414686,-0.4908201168855001,0.4714099738043527,0.4714038895374508,0.11439123457967426,-0.4867387856451733,0.,-2.106474548222181,-0.4950544959395437,0.4999980347727672,-1.9920833136425067,-0.981793281584717,0.4999980347727672,0.19244933331245373
11.343283582089553,"1/2",1,1,1,-0.5092052678895952,-1.410920093571525,-3.7810963086066254,1.4999951717556943,-1.9171510585304612,0.5430592563137665,-0.1960095438534929,-0.33333394599202687,0.07538355971981665,0.20887859906653286,-2.2759878631600228e-7,0.1535107191785955,-0.5565675715078524,0.,0.47140411949448663,-0.5021011745177397,0.47140967603389283,0.4714041195252432,0.13294424852414002,-0.4820018950007891,0.,-2.1044355901184946,-0.5804388136177357,0.4999984976160135,-1.9714913415943545,-1.0624407086185248,0.4999984976160135,0.19244951146124645
11.442786069651742,"1/2",1,1,1,-0.4548093949047249,-1.4293843429221853,-3.8142638665592967,1.4999970618253522,-1.8788524658042722,0.5501666320095996,-0.17507000031824163,-0.3333339689656754,0.06747469176642848,0.2120062259920173,-2.3417154993771144e-7,0.17470894279736723,-0.550282380493843,0.,0.4714047569168257,-0.5126462810006234,0.4714085695075068,0.47140475694212897,0.15130225117918783,-0.4765581064131739,0.,-2.0989222003219,-0.6663860076767729,0.4999998239021807,-1.947619949142712,-1.1429441140899468,0.4999998239021807,0.19245002194973437
11.542288557213931,"1/2",1,1,1,-0.39974576426504194,-1.4457501483444704,-3.8474314268334857,1.4999967224917194,-1.840553872518208,0.5564749066884617,-0.15384632033445453,-0.3333339927337142,0.059242770408662354,0.2142886791331463,-2.450291490647229e-7,0.1956507057805023,-0.5431893192306456,0.,0.4714046953189389,-0.522438791897421,0.4714088674268625,0.47140469536709195,0.16943835392146542,-0.4704153953904827,0.,-2.0898836575282727,-0.7527526741020566,0.4999996664623238,-1.9204453036068072,-1.2231680694925393,0.4999996664623238,0.19244996135104175
11.64179104477612,"1/2",1,1,1,-0.34409556321617685,-1.4599944263597655,-3.8805989895340023,1.4999951605344062,-1.8022552472709392,0.5619563467334879,-0.13243346980732437,-0.33333401776265176,0.05093417449636762,0.2161096164621698,-2.5805249579421563e-7,0.21630536383864732,-0.5352991746363566,0.,0.47140425116798546,-0.5314646659262605,0.47140993715281554,0.47140425121610974,0.18732597280601,-0.4635827648999497,0.,-2.0772814361922305,-0.8393943763430396,0.4999986965817981,-1.8899554633862206,-1.3029771412429894,0.4999986965817981,0.19244958804330375
11.74129353233831,"1/2",1,1,1,-0.28794107589225565,-1.472099058163708,-3.913766554789431,1.4999952334032483,-1.7639565784774291,0.566611060817092,-0.11083943148626153,-0.33333404408744477,0.042625578584072885,0.21793055379119333,-2.710758425237084e-7,0.23664303119941044,-0.5266245376191593,0.,0.4714043225489415,-0.5397116737713803,0.4714099826089646,0.4714043226632104,0.2049388783366038,-0.45607023159392324,0.,-2.0610855022653145,-0.9261655809322444,0.49999881930297946,-1.8561466239287108,-1.3822358125261678,0.49999881930297946,0.192449635278777
11.840796019900498,"1/2",1,1,1,-0.23136456358297194,-1.4820460151200852,-3.946934122728713,1.4999966507346816,-1.7256579569283261,0.5704390489392736,-0.08906420537126601,-0.3333340717080931,0.03431698267177815,0.21975149112021683,-2.8409918925320116e-7,0.25663384930607597,-0.5171780223471218,0.,0.4714048182944857,-0.5471676218086305,0.47140918658309294,0.47140481835270587,0.22225119758108558,-0.4478888312670604,0.,-2.041267583927208,-1.0129168968733697,0.49999984114404467,-1.8190163863461222,-1.46080572814043,0.49999984114404467,0.19245002858612742
