"\rho_m1","\varphi1","\rho_m2","\varphi2","\rho_m3","\varphi3","\rho_m4","\varphi4"
1.754357540877087,1.1400184702372764,1.9091883092036783,0.646418236908596,1.8536628141266562,0.4186745107232012,1.8140113541568144,0.2719951413268263
1.8060492761647151,1.1073894972827547,1.9443796054049178,0.6232309590149738,1.887052091052625,0.3968414870128491,1.8460987712728572,0.25357207088876865
1.858230371538991,1.0762928163441448,1.9807011582543412,0.600583258542784,1.921527805718534,0.3758622546734432,1.8792407002768192,0.2361519366120403
1.9109427126203975,1.0466038499173054,2.0181802625177734,0.5784838300894459,1.9571164239931174,0.3557285729417658,1.913463019895035,0.21970546361202017
1.9600178886035289,1.020398850249721,2.0568447426419065,0.5569396160479985,1.9938449092043924,0.33642992079646805,1.94879208369864,0.20420159185241235
2.00401045258346,0.9979987865939707,2.0967229733894452,0.5359558623060335,2.031740741454875,0.31795368784310446,1.9852547383736165,0.1896077939811351
2.0492011010313855,0.9759901060922253,2.1378439012328587,0.5155361817122298,2.070831937749464,0.3002853685717425,2.022878342843559,0.17589038161973547
2.09561965984892,0.9543716535586011,2.1802370664744615,0.49568262419871034,2.1111470729030644,0.2834087576709227,2.061690788212678,0.16301479739804675
2.1432971826719425,0.9331417108973314,2.2239326260615813,0.4763957524569555,2.1527153011953004,0.26730614426556726,2.101720518496156,0.15094589050049786
2.1922659556543236,0.9122980698767403,2.268961377066938,0.457674722090376,2.1955663787403568,0.25195850314960966,2.142996552105096,0.1396481739597114
2.24255950129048,0.8918380978738926,2.3153547808061377,0.43951736520572326,2.239730686541138,0.23734568130024172,2.185548504053881,0.12908606238643966
2.294212581430413,0.8717587969781562,2.363144987566201,0.4219202764562017,2.285239254198471,0.22344657818386246,2.229406608858869,0.11922408925375473
2.3472611996412467,0.852056856861778,2.412364861921367,0.4048789006092278,2.3321237842479374,0.2102393185886812,2.274601744098727,0.11002710325085564
2.401742603067927,0.8327287018372309,2.4630480086148854,0.3883876207791731,2.380416677099044,0.19770141694068927,2.321165454608553,0.10146044358264335
2.457695277965888,0.8137705345046792,2.515228798988158,0.3724398465381071,2.430151056553844,0.18580993227426998,2.3691299772819843,0.09349009441186973
2.5151589788460242,0.7951783632053125,2.568942397941325,0.35702810119363165,2.481360795884622,0.17454161323269182,2.4185282664578143,0.0860828189191969
2.5741746821221905,0.7769480501420732,2.624224791412233,0.3421441076006662,2.534080544452988,0.16387303266437775,2.469394019870158,0.07920627369230822
2.6347846227894953,0.7590753273345316,2.681112814363514,0.32777887195198047,2.5883457548554536,0.15378071155618833,2.5217617051438586,0.07282910434890266
2.6970322862219485,0.741555824235817,2.7396441792703907,0.31392276506902644,2.6441927105834386,0.14424123220355065,2.5756665868195796,0.0669210234515607
2.760962409985619,0.7243850886076875,2.7998575051045744,0.30056560078909267,2.7016585541884335,0.13523134065833836,2.6311447538958546,0.06145287188747501
2.826620985156552,0.7075586046033536,2.8617923468124267,0.2876967111160317,2.760781315945944,0.12672803861859055,2.6882331478781896,0.05639666496587903
2.894055262209041,0.6910718071338143,2.925489225288152,0.2753050178690948,2.821599943014562,0.11870866502964954,2.7469695913281664,0.051725624534064714
2.9633137347513885,0.6749200992610119,2.9909896578454287,0.2633791006271401,2.884154329089271,0.11115096775453354,2.807392816908277,0.04741419843280736
3.034446219679319,0.6590988454596133,3.058336189193307,0.2519072608233181,2.9484853445507055,0.10403316574318566,2.869542496920955,0.04343806860755811
3.107503744100389,0.6436034079755936,3.1275724229245547,0.2408775818980038,3.014634867114631,0.09733400218665615,2.933459273342944,0.039774149166646566
3.1825386387960517,0.6284291337799822,3.198743053526896,0.2302779854651336,3.0826458129883316,0.09103278918448968,2.999184788358672,0.03640057563558153
3.259604521390466,0.6135713663652597,3.2718938989296245,0.22009628348923216,3.1525621685429037,0.08510944448290034,3.066761715398786,0.03329668660075314
3.3387563055382166,0.5990254504895712,3.3470719336000982,0.21032022650734727,3.22442902251261,0.07954452085909623,3.1362337906923026,0.030442998869598167
3.42005021177884,0.5847867359116009,3.4243253222064296,0.2009375479620524,3.298292598734554,0.0743192287347421,3.2076458453430736,0.0278211772004606
3.5035437800150775,0.570850580320512,3.5037034538644276,0.19193600473883377,3.3742002894437952,0.06941545260039254,3.281043837943316,0.02541399957652074
3.589295885158706,0.5572123513889394,3.5852569769884255,0.18330341402385847,3.4522006891408745,0.06481576182410476,3.3564748877389308,0.02320531891651283
3.677366759074281,0.5438674277088956,3.6690378347671087,0.17502768661661347,3.532343629050361,0.060503416402604725,3.4339873083631534,0.021180022032415285
3.76781800401118,0.5308112010375097,3.7550993012868625,0.16709685684656145,3.6146802121906108,0.05646236819349485,3.5136306421567918,0.019323986562480057
3.860712610314912,0.5180390777226981,3.843496018326376,0.15949910925412752,3.699262849076349,0.05267725814313045,3.5954556950948673,0.017624036528179957
3.956114978341202,0.5055464795511394,3.9342840328474566,0.15222280220434792,3.7861452940770395,0.04913340999792066,3.679514572340967,0.016067897086928982
4.054090945102098,0.49332884414351946,4.027520835208077,0.14525648860673526,3.8753826824552244,0.045816820957790605,3.7658607144519674,0.01464414897956967
4.15470781857368,0.48138162473397006,4.123265398124676,0.13858893391767546,3.9670315681101638,0.04271414970013595,3.854548934257025,0.013342183103195758
4.2580343982392925,0.4697002919532383,4.221578216411706,0.1322091316022859,4.061149962053185,0.03981270217146052,3.945635454435931,0.012152155576276755
4.364141003405364,0.45828033476446234,4.322521347527236,0.12610631623144408,4.1577973716420855,0.0371004155125783,4.0391779458229715,0.011064943604497484
