"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^(+)","k_\rho^(-)","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
0.,"1/2",-1,1,1,0.,-20.,0.,20.,-1.5707963267948966,0.1634710260509495,1.210154933241527,-0.0013341160799479283,0.0033634815901377765,0.025292786720780922,-0.0008526454114943028,0.1657,1.,0.,-1.,0.,1.5824331369584532,-0.9999999999999999,-0.08173551302547474,-0.493274067745774,0.,0.,0.,3.3139999999999996,-0.08173551302547474,-0.493274067745774,3.3139999999999996,1.2372420822581693
0.17412935323383086,"1/2",-1,1,1,0.028477922879612073,-19.78918006341926,-0.00023559011505116354,19.789200554204353,-1.5693572624612568,0.16361855050810353,1.2112649225323917,-0.0013720135829969116,0.0008514463258382541,0.006407844130477345,-0.00022056730267876694,0.16602760796333743,0.9990196492941529,0.,-0.9987796905298058,-0.5890143210994445,1.584635172879248,-0.9987796905298061,-0.08197098621421536,-0.49323499208700605,0.,0.00023535915411558255,-0.00003911446326175214,3.3140002340130814,-0.08173562706009978,-0.4932741065502678,3.3140002340130814,1.2372420724977484
0.3482587064676617,"1/2",-1,1,1,0.056981703428309466,-19.578165509963604,-0.0004778981407180185,19.57824843161548,-1.5678858629669303,0.16376803643728188,1.2123904015897315,-0.0014112906089644133,0.0008644156606990524,0.006511031267037203,-0.0002299240618800432,0.16636549410405466,0.9980252284231783,0.,-0.9975368013210449,-0.5880722377768547,1.5868780314565383,-0.9975368013210454,-0.08221293529216248,-0.4931947214545658,0.,0.00047695440105311257,-0.00007950576031196218,3.3140003562960363,-0.08173598089110937,-0.49327422721487774,3.3140003562960363,1.237242067753325
0.5223880597014925,"1/2",-1,1,1,0.08551170572080323,-19.36695344689328,-0.000727184906745754,19.367142227648014,-1.5663810143777186,0.16391984940901044,1.2135344311718816,-0.0014522553726835563,0.0008792647574402511,0.0066289656479456205,-0.0002405855099798275,0.16671406190601679,0.9970164146341457,0.,-0.9962706039645756,-0.5871124240492045,1.5891629730242445,-0.9962706039645756,-0.08246160519727526,-0.4931532050674402,0.,0.0007250152884997172,-0.00012123194956033267,3.3140000501233167,-0.08173658990877554,-0.4932744370170005,3.3140000501233167,1.2372420818788854
0.6965174129353234,"1/2",-1,1,1,0.11406835722077976,-19.15554047846546,-0.0009837610390668198,19.155880105394477,-1.5648415478586952,0.16407403502516324,1.21469722154286,-0.0014949714324582644,0.0008917116507692433,0.006726882921688305,-0.00025006090642475673,0.1670737918505423,0.9959928273475784,0.,-0.9949802871327936,-0.5861342710545667,1.5914912478089422,-0.9949802871327934,-0.08271728411157024,-0.49311038410198355,0.,0.0009798189387345533,-0.00016436068707172306,3.314000048302994,-0.08173746517283569,-0.49327474478905525,3.314000048302994,1.2372420830441804
0.8706467661691543,"1/2",-1,1,1,0.14265204837177067,-18.943923527031853,-0.0012479203007836797,18.94446062058605,-1.5632662419140781,0.16423046074919642,1.2158776748685385,-0.001539378121754245,0.0009052609232256851,0.006834763057843208,-0.00026064501859110814,0.16744513818970178,0.9949541177929021,0.,-0.9936650457055446,-0.5851372109701833,1.593864217972957,-0.9936650457055443,-0.08298024672795185,-0.4930662010855827,0.,0.0012416234419420791,-0.00020895818721445745,3.314000135778077,-0.08173862328600977,-0.49327515927279714,3.314000135778077,1.2372420812193645
1.044776119402985,"1/2",-1,1,1,0.1712631852762893,-18.732099367023128,-0.0015199768544604422,18.732882260203827,-1.561653816380658,0.16438927806420803,1.2170772548350042,-0.001585696549867148,0.0009188693806218655,0.006943269699851295,-0.0002713552128770926,0.16782858665633252,0.9938999186626534,0.,-0.9923240279166514,-0.5841206406054734,1.5962832945692549,-0.9923240279166513,-0.08325078613536571,-0.4930205945068052,0.,0.001510704872017349,-0.00025509556723443406,3.3140002277894833,-0.08174008126334836,-0.4932756900740396,3.3140002277894833,1.2372420793992283
1.2189054726368158,"1/2",-1,1,1,0.1999021846089319,-18.52006466720241,-0.0018002638792186864,18.521143489557293,-1.5600029291775774,0.1645505030259942,1.2182960841672525,-0.0016339554079095367,0.000933077164403087,0.007057375868324923,-0.0002832552461305446,0.1682246522958062,0.9928298481158081,0.,-0.9909563373062127,-0.5830839257659842,1.5987499465721415,-0.9909563373062126,-0.08352921258905892,-0.4929734989269218,0.,0.0017873557137730637,-0.00030284876512226273,3.314000294719275,-0.08174185687528586,-0.4932763476920441,3.314000294719275,1.237242078091616
1.3930348258706469,"1/2",-1,1,1,0.2285694744064535,-18.307815993520165,-0.0020891367210880618,18.309242760344382,-1.5583121724934368,0.16471420582659158,1.2195348186718145,-0.0016842940476974725,0.0009471664310297975,0.007170374726929889,-0.0002949199880051733,0.16863388429372325,0.9917435093506546,0.,-0.9895610299570252,-0.5820263975376726,1.6012657043374336,-0.9895610299570248,-0.08381585601665908,-0.4929248444541974,0.,0.0020718877832851938,-0.0003522992400977326,3.3140004166003463,-0.08174396823337389,-0.4932771436942951,3.3140004166003463,1.2372420757881266
1.5671641791044777,"1/2",-1,1,1,0.2572654865469222,-18.095349873311463,-0.002386959599340075,18.097178580323547,-1.5565800692024006,0.1648804250708953,1.2207938640506217,-0.0017368097058730507,0.0009620606566070139,0.0072913594412663575,-0.0003083955936981765,0.1690568454986619,0.990640499922126,0.,-0.9881371216944712,-0.5809473733548564,1.6038321759529781,-0.9881371216944711,-0.08411105550430129,-0.49287455842430367,0.,0.0023646188507841694,-0.00040353186019718296,3.314000377982199,-0.08174643665351712,-0.49327809028450087,3.314000377982199,1.2372420767776917
