"\rho_m1","\varphi1","\rho_m2","\varphi2","\rho_m3","\varphi3","\rho_m4","\varphi4"
1.754357540877087,3.1017560257544314,1.9091883092036783,0.9967112657857483,1.8536628141266562,0.6000171812306871,1.8140113541568144,0.4324115359492853
1.8060492761647151,2.9063354531219865,1.9443796054049178,0.9407286477299942,1.887052091052625,0.5563794725765238,1.8460987712728572,0.3916533246280293
1.858230371538991,2.6864732801440643,1.9807011582543412,0.8884720919341471,1.921527805718534,0.5163584572587383,1.8792407002768192,0.35534124717682514
1.9109427126203975,2.503138789466775,2.0181802625177734,0.8396109816540773,1.9571164239931174,0.47955708907955347,1.913463019895035,0.32282641262486605
1.9600178886035289,2.345873261667305,2.0568447426419065,0.793855540008092,1.9938449092043924,0.445641263749712,1.94879208369864,0.29359348616961484
2.00401045258346,2.208222718116402,2.0967229733894452,0.7509506835083448,2.031740741454875,0.41432618675398497,1.9852547383736165,0.2672250694568762
2.0492011010313855,2.085915993734167,2.1378439012328587,0.7106701554221397,2.070831937749464,0.38536671309733017,2.022878342843559,0.243377548593718
2.09561965984892,1.9759750177808892,2.1802370664744615,0.6728123788669255,2.1111470729030644,0.3585496295526224,2.061690788212678,0.22176329253384716
2.1432971826719425,1.8762361180437543,2.2239326260615813,0.6371967600338235,2.1527153011953004,0.3336881906835057,2.101720518496156,0.2021390077704906
2.1922659556543236,1.78507527081284,2.268961377066938,0.6036614312028303,2.1955663787403568,0.3106174381641174,2.142996552105096,0.184296130591396
2.24255950129048,1.7012413432138238,2.3153547808061377,0.5720590677893743,2.239730686541138,0.28919096380808923,2.185548504053881,0.16805482544618694
2.294212581430413,1.623746796151376,2.363144987566201,0.5422569040343262,2.285239254198471,0.26927763396599663,2.229406608858869,0.15325795641519743
2.3472611996412467,1.551798033424113,2.412364861921367,0.5141338694482214,2.3321237842479374,0.25075981996655106,2.274601744098727,0.13976713245804837
2.401742603067927,1.4847464277853908,2.4630480086148854,0.4875794494076829,2.380416677099044,0.23353120914249115,2.321165454608553,0.12746044635585307
2.457695277965888,1.4220549957855293,2.515228798988158,0.4624924523750465,2.430151056553844,0.2174955094603943,2.3691299772819843,0.11622935683099131
2.5151589788460242,1.363273206559539,2.568942397941325,0.4387799623889349,2.481360795884622,0.20256502628081458,2.4185282664578143,0.1059767473032816
2.5741746821221905,1.3080186515196792,2.624224791412233,0.4163563839298157,2.534080544452988,0.18865971095300907,2.469394019870158,0.09661574891568642
2.6347846227894953,1.2559639285593227,2.681112814363514,0.3951427985069351,2.5883457548554536,0.17570627191465854,2.5217617051438586,0.08806763329004537
2.6970322862219485,1.2068253950053163,2.7396441792703907,0.3750661791815258,2.6441927105834386,0.16363742413876944,2.5756665868195796,0.08026158139183474
2.760962409985619,1.160357085892332,2.7998575051045744,0.35605892349221,2.7016585541884335,0.15239128130659643,2.6311447538958546,0.07313330694156334
2.826620985156552,1.1163426293307745,2.8617923468124267,0.3380581618635362,2.760781315945944,0.14191060510215464,2.6882331478781896,0.06662444106797902
2.894055262209041,1.0745912325493174,2.925489225288152,0.3210055922494964,2.821599943014562,0.1321426719513133,2.7469695913281664,0.06068182743307417
2.9633137347513885,1.034933318174113,2.9909896578454287,0.30484679182182556,2.884154329089271,0.1230387373953296,2.807392816908277,0.05525706845636513
3.034446219679319,0.9972176833677132,3.058336189193307,0.28953075017519053,2.9484853445507055,0.11455344256904612,2.869542496920955,0.05030584618718431
3.107503744100389,0.9613088086860613,3.1275724229245547,0.275010562772012,3.014634867114631,0.1066448229694101,2.933459273342944,0.04578778156758712
3.1825386387960517,0.927084506388748,3.198743053526896,0.2612416700517407,3.0826458129883316,0.09927389396649589,2.999184788358672,0.041665900594059224
3.259604521390466,0.8944342883330516,3.2718938989296245,0.2481825703916436,3.1525621685429037,0.09240433348819208,3.066761715398786,0.03790636211121784
3.3387563055382166,0.8632579012247238,3.3470719336000982,0.2357943771147541,3.22442902251261,0.08600240470630938,3.1362337906923026,0.034478179686345506
3.42005021177884,0.8334639747026802,3.4243253222064296,0.22404056256655247,3.298292598734554,0.08003664698128975,3.2076458453430736,0.03135299059013355
3.5035437800150775,0.8049690263594504,3.5037034538644276,0.21288683850880108,3.3742002894437952,0.07447776720172962,3.281043837943316,0.028504717309476027
3.589295885158706,0.7776965269372912,3.5852569769884255,0.20230103120472565,3.4522006891408745,0.069298473559313,3.3564748877389308,0.025909526530011544
3.677366759074281,0.7515761919553892,3.6690378347671087,0.19225281121469914,3.532343629050361,0.06447325785938424,3.4339873083631534,0.023545606986476238
3.76781800401118,0.726543214771651,3.7550993012868625,0.18271364606292154,3.6146802121906108,0.05997841362836375,3.5136306421567918,0.021392885882043113
3.860712610314912,0.702537757164311,3.843496018326376,0.173656654869038,3.699262849076349,0.05579165466672462,3.5954556950948673,0.019433098237974636
3.956114978341202,0.6795044319062951,3.9342840328474566,0.16505650176166717,3.7861452940770395,0.051892324203732916,3.679514572340967,0.01764939145712813
4.054090945102098,0.6573918428611895,4.027520835208077,0.15688932265477568,3.8753826824552244,0.048261040586894184,3.7658607144519674,0.01602635969377324
4.15470781857368,0.6361522944407122,4.123265398124676,0.14913249290818073,3.9670315681101638,0.04487982521137728,3.854548934257025,0.01454990641318468
4.2580343982392925,0.6157413157700259,4.221578216411706,0.14176478802807155,4.061149962053185,0.04173176840895519,3.945635454435931,0.013207158011475236
4.364141003405364,0.59611745511416,4.322521347527236,0.13476602773414564,4.1577973716420855,0.03880114197223509,4.0391779458229715,0.011986311010703493
