"t","\alpha","\chi","v_F","\rho_t","x","y","z","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
-30.23605,"1/2",1,1,1,16.811725859863724,-34.50130536577824,-0.32151339506942983,-0.4253772601038863,1.0800989358738637,0.0004678832075492678,-0.0008755787101491792,0.0022214547250194064,0.000036956385859689174,-0.21605765748369724,0.5695781672624757,0.,-0.17733484238290045,0.4674958327910868,0.,0.18312701031398212,0.0694654309883315,2.121320786320588,0.005792167931081671,0.5369612637794183,2.121320786320588,0.7071067867265344
-29.911271820448878,"1/2",1,1,1,16.673526186190305,-34.15039502372835,-0.3213594615154183,-0.425663874626993,1.0808261007386533,0.00048012786351175294,-0.0008894076168437283,0.0022564622692487863,0.0000384468076640175,-0.21580604112998933,0.5692366546018148,0.,-0.17724719119382576,0.4675290720521018,0.,0.18292958479767735,0.06935131316930758,2.121320713546621,0.005682393603851588,0.5368803852214094,2.121320713546621,0.7071067890453375
-29.586493640897753,"1/2",1,1,1,16.535232697031308,-33.7992466680844,-0.32120147255884274,-0.4259549804772411,1.0815646352899286,0.0004928565759546113,-0.0009032365235382776,0.0022914698134781667,0.00003993722946834584,-0.21554983908393538,0.5688908644434618,0.,-0.17715728511871975,0.46756314688966305,0.,0.18272858338451292,0.06923492572358164,2.121320642324104,0.0055712982657931676,0.5367980726132446,2.121320642324104,0.7071067912852075
-29.261715461346633,"1/2",1,1,1,16.39684393370169,-33.44785660622032,-0.32103927098872076,-0.4262505776546307,1.082314539527689,0.0005060693448778426,-0.0009170654302328268,0.0023264773577075467,0.000041427651272674165,-0.2152889085425512,0.5685407055097425,0.,-0.17706503872673685,0.4675980881704919,0.,0.1825238936242607,0.06911619425045802,2.121320676358965,0.005458854897523846,0.53671428242095,2.121320676358965,0.7071067900681729
-28.936937281795508,"1/2",1,1,1,16.25835843751639,-33.096221145510015,-0.32087269959406983,-0.4265506661591617,1.083075813451935,0.0005197661702814471,-0.0009308943369273761,0.0023614849019369267,0.00004291807307700251,-0.21502310670285255,0.5681860865229826,0.,-0.17697036610267775,0.4676339268289719,0.,0.18231540345441918,0.06899504472284804,2.1213207630681463,0.0053450373517414385,0.53662897155182,2.1213207630681463,0.7071067871211918
-28.612159102244387,"1/2",1,1,1,16.119774741853632,-32.74433657323022,-0.3207015998758732,-0.42685535932812113,1.0838487435430721,0.0005339676763979748,-0.0009457956950804686,0.0023991991333347446,0.000044621714643964196,-0.21475228966907142,0.567826915625871,0.,-0.17687318020086742,0.46767069410604667,0.,0.18210300029379928,0.06887140287387816,2.1213207194546624,0.005229820092931853,0.5365420969799248,2.1213207194546624,0.7071067884404689
-28.287380922693266,"1/2",1,1,1,15.981091281710786,-32.39219892851396,-0.32052579310568563,-0.4271650450082098,1.0846343069021283,0.0005487586712267648,-0.0009612639510862006,0.002438338660257237,0.000046461958829622004,-0.21447629769501622,0.5674630942078184,0.,-0.17677338386439181,0.4677084249370888,0.,0.18188655832916736,0.06874518542106621,2.121320607149046,0.0051131744647755495,0.536453610358155,2.121320607149046,0.707106791866403
-27.962602743142142,"1/2",1,1,1,15.842306426614005,-32.03980408572443,-0.3203450854878487,-0.4274797544403249,1.085432581925487,0.0005641473372121025,-0.000976732207091933,0.002477478187179729,0.00004830220301527983,-0.21419495961874635,0.5670945193265138,0.,-0.17667087229883485,0.46774715699955755,0.,0.18166594227334248,0.06861630265013359,2.1213206056897222,0.004995069974507632,0.5363634596496911,2.1213206056897222,0.7071067917135623
-27.63782456359102,"1/2",1,1,1,15.703418544958259,-31.68714791639043,-0.32015928291181217,-0.42779948762446635,1.086243568613148,0.0005801336743539875,-0.000992200463097665,0.002516617714102221,0.00005014244720093764,-0.21390810405158697,0.5667210879703285,0.,-0.17656553993713012,0.4677869281058522,0.,0.18144101713558242,0.06848466520218138,2.1213207090549058,0.004875477198452299,0.5362715933080335,2.1213207090549058,0.7071067881933673
-27.3130463840399,"1/2",1,1,1,15.564426001361694,-31.334226282518532,-0.3199681905017947,-0.42812431704777304,1.0870674496329882,0.0005967328260995514,-0.0010085610025838358,0.0025580041638394242,0.00005217744069262827,-0.2136155589996263,0.5663426968629496,0.,-0.17645728019575185,0.4678277762872978,0.,0.1812116479191444,0.0683501838761398,2.1213207335740174,0.00475436772339255,0.5361779601634377,2.1213207335740174,0.7071067873324635
