"\alpha","\rho_p/\rho_t","\varphi from trajectories","\varphi numerical integration","\varphi approx."
0.5,2.226681601965257,1.719388106539146,1.7193883381231458,0.8981975727777277
0.5,2.601312143912589,1.2832255601841658,1.2832255198139348,0.768842757423205
0.5,2.9890797481846794,1.0206850047637612,1.0206849741214725,0.6691022602266691
0.5,3.402936326875575,0.8393804889759077,0.8393803249139511,0.5877277143949259
0.5,3.850756786363257,0.7048011921254381,0.7048010532496618,0.5193784265289831
0.5,4.3389087199132765,0.6003308697535228,0.6003306858127027,0.4609453936958432
0.5,4.873348894522941,0.5167230500916828,0.5167228316556836,0.4103954007657187
0.5,5.460082984609656,0.44831958660366,0.44831944680742986,0.3662948044266081
0.5,6.105408511933665,0.3914165173419081,0.39141628628671654,0.327578409927834
0.5,6.816070664719695,0.3434627504205023,0.3434625707669037,0.293424188891759
0.5,7.599381190770591,0.30263090375268975,0.3026307633553782,0.26317932159110224
0.5,8.463321513191945,0.2675694767780727,0.26756971926308726,0.23631383810080933
0.5,9.41664133929875,0.23725394175076397,0.2372541911947712,0.21238995126492774
0.5,10.468957749992482,0.21088931448227796,0.21088939740584234,0.19104098504868933
0.5,11.630859621898397,0.18784799921666673,0.18784796293314887,0.17195633900217153
0.5,12.914018702377996,0.16762676994759945,0.167626844843356,0.15487046216128605
0.5,14.331310130072074,0.1498170686330077,0.1498170696650445,0.13955458582644203
0.5,15.896944005445869,0.13408253943571957,0.1340825306167881,0.125810343830433
0.5,17.626609310758788,0.1201440264160751,0.12014399932689646,0.1134648152908001
0.5,19.537632493680302,0.10776760855439256,0.10776758111789508,0.10236654942371345
0.5,21.649151723138477,0.09675562908205478,0.09675560073621448,0.09238237148387636
0.5,23.98230925923233,0.08693997955632675,0.08693991378532617,0.0833948020557867
0.5,26.56046368498273,0.07817668973142448,0.07817660840737117,0.07529988794637864
0.5,29.40942393994279,0.0703419941481634,0.07034200808684954,0.06800541020448254
0.5,32.557708148338854,0.06332870681632786,0.0633287067784325,0.061429383618964724
0.5,36.03682922712703,0.057043806244693705,0.057043819062682743,0.05549877758732712
0.5,39.88161039118919,0.05140603877546422,0.051406089736805605,0.050148426255830776
0.5,44.130533943060044,0.04634430329304697,0.046344457988243715,0.04532009411124607
0.5,48.82612652345675,0.04179617970767977,0.0417963956465317,0.04096167561178639
