"E","\rho_p/\rho_t","\varphi"
0.1,21.784057129143072,0.09567901801055365
0.1,33.73271738375342,0.060751956285674924
0.1,52.454352144103396,0.03864669777951042
0.1,81.85294418001678,0.024595320804577273
0.1,128.1010977042926,0.01564517900430764
0.1,200.9631505637326,0.009943450666985775
0.1,315.8912210875947,0.0063147358364635696
0.1,497.3458029597282,0.004005409358928169
0.1,784.057231017454,0.0025394775715196134
0.1,1237.3622302696542,0.001608952635639173
0.1,1954.4142550713898,0.0010185957115605964
0.1,3089.117768817008,0.0006444299762251866
0.1,4885.3005005985115,0.00040705419707063505
0.1,7729.287518511035,0.00025717459630664755
0.1,12233.214882630564,0.00016353063315251406
0.1,19367.065694445366,0.00010201836587829978
0.1,30667.92940533819,0.00006600607759996408
0.1,48571.6332973098,0.00004173046915534185
0.1,76938.31777574045,0.000026849308235183017
0.1,121885.45691707372,0.000015474650375706308
0.1,193107.9740506736,0.000010946747383212096
0.1,305970.6045895082,7.22911864395922e-6
0.1,484823.75733461446,4.866401497050154e-6
0.1,768259.2569048675,1.9953267068101958e-6
0.1,1.217439241943409e6,1.5665789195672116e-6
0.1,1.9292976779703212e6,1.0305385469439066e-6
0.2,2.6615644956482756,1.208179982814161
0.2,4.00776785720783,0.6576350699795817
0.2,6.058868763255932,0.3893181841546781
0.2,9.222629247281173,0.23903257250001178
0.2,14.130627307689894,0.14948408966931842
0.2,21.775463307460242,0.09437682453471048
0.2,33.722061237131044,0.059866968381985
0.2,52.44103164714996,0.03805258017994043
0.2,81.83620567222643,0.024199653019639552
0.2,128.0799895572412,0.015386443347348951
0.2,200.9365017852696,0.009775681359152048
0.2,315.8575283714318,0.0062052610671220945
0.2,497.3032211675915,0.003936375824731741
0.2,784.0034211389029,0.0024939752975010245
0.2,1237.2942941183403,0.0015796911586779974
0.2,1954.3285433603373,0.00099919061177862
0.2,3089.0092656735364,0.0006326607901980948
0.2,4885.164081973465,0.0003991960582548628
0.2,7729.115473362402,0.00025261651191692177
0.2,12232.997938783032,0.0001602899102342361
0.2,19366.792475632992,0.00010080130281749043
0.2,30667.58534573076,0.00006374538610390194
0.2,48571.19663229053,0.00004020069487883692
0.2,76937.7776093453,0.00002602153779441199
0.2,121884.76812126645,0.00001589471033902131
0.2,193107.11369852684,0.000010857419845948022
0.2,305969.4914413541,7.169847308416984e-6
0.2,484822.3806605313,4.769347559213104e-6
0.2,768257.509865314,1.9466641944235972e-6
0.2,1.2174370587982412e6,1.3832757279807209e-6
0.2,1.9292949265118232e6,1.0384045126502496e-6
0.3,2.65607711255291,1.182067930867371
0.3,4.000748099552706,0.6472783554838532
0.3,6.05066574930678,0.3829222396535355
0.3,9.212924349352692,0.2346044971609873
0.3,14.118919244046266,0.14638719335107814
0.3,21.761107305978665,0.09223745429417896
0.3,33.70424779763597,0.058413029278309395
0.3,52.41874670975745,0.03707938620174083
0.3,81.80818963185644,0.0235548722643717
0.3,128.04466011153133,0.014963156110885271
0.3,200.89188883063807,0.009500626736920474
0.3,315.80115055365155,0.00602790692119193
0.3,497.23197439186606,0.0038208777990018116
0.3,783.9133703359319,0.0024207856840884447
0.3,1237.1805672351152,0.001532630305180864
0.3,1954.184939129921,0.000969869709473885
0.3,3088.8282200334065,0.0006129659513238089
0.3,4884.9354021440395,0.00038805014425282797
0.3,7728.826993108128,0.0002442831369146347
0.3,12232.634650921196,0.00015494990081187364
0.3,19366.334419850984,0.00009770029733495233
0.3,30667.008368376886,0.00006174097401349567
0.3,48570.46991971701,0.00003902289417071726
0.3,76936.86006545194,0.00002461769630082509
0.3,121883.61456701953,0.000015592498295419188
0.3,193105.66014558254,9.848697154311728e-6
0.3,305967.6746112147,6.165183436022864e-6
0.3,484820.0770231575,4.391850282755341e-6
0.3,768254.602563231,2.833205432401229e-6
0.3,1.217433407317664e6,1.6957632521334945e-6
0.3,1.929290336523308e6,1.2061781552744387e-6
0.4,2.6484512443359223,1.1477540428143505
0.4,3.991019907174276,0.6332238139291985
0.4,6.039239118300148,0.3741422720021458
0.4,9.19935552608513,0.22851384914488596
0.4,14.102507832177835,0.14213459542905318
0.4,21.740949339519208,0.0893102839768919
0.4,33.67920688868136,0.05642759384961756
0.4,52.38740338439418,0.03575141434942141
0.4,81.76876069775653,0.022677909834288176
0.4,127.99493969236738,0.014388450059722507
0.4,200.8290713251846,0.00912685258264485
0.4,315.7217732674287,0.005786260046742227
0.4,497.13164741047814,0.003666125026908672
0.4,783.7866145821654,0.0023214357040683433
0.4,1237.0204074635433,0.0014689315474598343
0.4,1953.9827888642023,0.0009293881484747626
0.4,3088.572997746578,0.0005876747993582412
0.4,4884.613573041462,0.00037144467824126525
0.4,7728.421261268462,0.00023459786456358676
0.4,12232.12286844869,0.00014806008049780893
0.4,19365.689789394655,0.00009366473844514038
0.4,30666.19649294844,0.00005903771061289547
0.4,48569.44561182758,0.000037116001447986955
0.4,76935.5635643825,0.000023627625848281947
0.4,121881.99118125135,0.000014961216161374863
0.4,193103.61624863528,9.408764373758423e-6
0.4,305965.0941697407,5.932163451985306e-6
0.4,484816.8066494972,4.188485791289143e-6
0.4,768250.5144543333,1.9400318206135922e-6
0.4,1.2174282650483043e6,1.630859671963761e-6
0.4,1.9292838546018966e6,5.662319622982871e-7
0.5,2.638752199735084,1.1070371970080994
0.5,3.978679707644347,0.6158552068888035
0.5,6.024652095813468,0.36313504938614194
0.5,9.1819528195013,0.2208628448707641
0.5,14.0813927907258,0.1368071079304436
0.5,21.714957887291423,0.08565503492827824
0.5,33.646873425450316,0.053958763759987274
0.5,52.34689076506393,0.03410592349960505
0.5,81.71778067248621,0.021592644518659308
0.5,127.93061124219322,0.013679454332776916
0.5,200.74781037058315,0.00866657798843233
0.5,315.6190567081238,0.005489039219683468
0.5,497.0018275839914,0.0034754189253692913
0.5,783.6225875167762,0.002199390773452585
0.5,1236.8132711051935,0.001391223886586675
0.5,1953.7213126745478,0.0008796325028335094
0.5,3088.243061081948,0.0005559987842110801
0.5,4884.197243662318,0.0003513104042007225
0.5,7727.8960677222585,0.000221797070167189
0.5,12231.46084417345,0.0001401549481319039
0.5,19364.855798786382,0.00008851368273258135
0.5,30665.14473553064,0.000055744580554231045
0.5,48568.12183885124,0.00003528963406598709
0.5,76933.8991269259,0.000022253435271312895
0.5,121879.89084380545,0.000014078198043621678
0.5,193100.97138422984,8.992234363616597e-6
0.5,305961.76098637405,6.083951526293319e-6
0.5,484812.6167067432,3.364266704341939e-6
0.5,768245.2295143763,2.3965759350335125e-6
0.5,1.2174216133971736e6,1.2496017200797185e-6
0.5,1.9292754844228236e6,1.1764263570245412e-6
0.6,2.627069119060423,1.0617491437023203
0.6,3.963846245603088,0.5955894980951872
0.6,6.006992358085104,0.350073860610038
0.6,9.1607698378231,0.2117713019956473
0.6,14.0555951872116,0.13050137720722538
0.6,21.683123170562897,0.08134885748173759
0.6,33.60720487187918,0.05106274873307381
0.6,52.29713832524456,0.0321821646504384
0.6,81.65512273379355,0.020328066057700298
0.6,127.85152259690184,0.012854617199520935
0.6,200.64786693182276,0.008132305261736084
0.6,315.4927282723662,0.005144960577060888
0.6,496.8421383736067,0.0032544936207410326
0.6,783.4208091811861,0.002058124773209113
0.6,1236.5584383210146,0.0013010749856403755
0.6,1953.399666527042,0.0008218781266334312
0.6,3087.837160472301,0.000519526327695812
0.6,4883.685266096256,0.000328218347512013
0.6,7727.250517868333,0.00020736280086257485
0.6,12230.647099794805,0.00013090839534334132
0.6,19363.83024985792,0.00008261938958033945
0.6,30663.85297201067,0.00005207124779844568
0.6,48566.4938434522,0.000032940328786198774
0.6,76931.84852040284,0.000020804481110940396
0.6,121877.30802445587,0.000013240284561289625
0.6,193097.7185300055,8.306266288253146e-6
0.6,305957.6677132189,5.2325939545773076e-6
0.6,484807.4877159449,3.277358450727699e-6
0.6,768238.7320090419,2.1432509751842127e-6
0.6,1.2174134340233204e6,1.1540463975682443e-6
0.6,1.9292652033025501e6,6.351435158759417e-7
0.7,2.6135118895320235,1.0135732530735975
0.7,3.9466563969110044,0.5728350864897348
0.7,5.986371022115911,0.33514042611285555
0.7,9.135888004346324,0.20137519979054563
0.7,14.025168029353624,0.12332796121790456
0.7,21.64546998667622,0.07647982902412467
0.7,33.56019982526514,0.04780422158537399
0.7,52.23811181847592,0.030026791275497774
0.7,81.58073329034266,0.01891532496003698
0.7,127.75758488826584,0.011935740306236122
0.7,200.52913827604397,0.007538097804811674
0.7,315.3426311638224,0.0047626007107748215
0.7,496.6524366216906,0.003009330184434356
0.7,783.1811218419824,0.0019014608495595336
0.7,1236.2556964233179,0.0012010651912462934
0.7,1953.0174630593376,0.0007587800060550112
0.7,3087.3549226037526,0.0004792134818185007
0.7,4883.076998891098,0.00030260328110641075
0.7,7726.483663801479,0.00019139869279839617
0.7,12229.68055182644,0.00012061616029563385
0.7,19362.611983986575,0.0000761609587253247
0.7,30662.317578458118,0.000047922438771894245
0.7,48564.56002161771,0.000030341939471669787
0.7,76929.41275983212,0.00001927311375693142
0.7,121874.24031965098,0.000012088256697865472
0.7,193093.8555601656,7.643828387234877e-6
0.7,305952.8026160987,4.835145981295872e-6
0.7,484801.3615043968,3.0504831090569578e-6
0.7,768231.0157127988,1.993188020276279e-6
0.7,1.2174037202478528e6,1.27178378347308e-6
0.7,1.9292529660756334e6,8.033988459124444e-7
0.8,2.5982054548165268,0.9639311038104966
0.8,3.9272597591460667,0.5479580222869727
0.8,5.962921299105425,0.31851510914810155
0.8,9.107418045513116,0.18982255183019847
0.8,13.990200880750134,0.11541068003109636
0.8,21.602070884458566,0.07114262346696905
0.8,33.50591263263582,0.04425316950421826
0.8,52.169854277585145,0.02768874716071153
0.8,81.49464193240948,0.017388600914123024
0.8,127.64882067431235,0.010945119452004475
0.8,200.39164081650645,0.006898830821266909
0.8,315.16877843045,0.004351891885057869
0.8,496.432679750084,0.0027463987113350657
0.8,782.9034580684515,0.0017336130823544297
0.8,1235.9050315292934,0.0010943299385338654
0.8,1952.5747816607934,0.0006908190023613167
0.8,3086.7963658207086,0.0004360935059113098
0.8,4882.372560177014,0.00027528612885121986
0.8,7725.595681547142,0.0001737505472382909
0.8,12228.56083654089,0.00010939320233671299
0.8,19361.20121437635,0.00006919894421580693
0.8,30660.540109664278,0.00004346109838095661
0.8,48562.32062551541,0.00002757895220093395
0.8,76926.59226509435,0.000017524825394662456
0.8,121870.68821815883,0.000010983587410935504
0.8,193089.38236049036,6.920149439008902e-6
0.8,305947.1691530252,4.390682446093226e-6
0.8,484794.25147607684,2.8143710155425162e-6
0.8,768222.0826761611,1.7785105502854464e-6
0.8,1.2173924764087014e6,1.12321331946318e-6
0.8,1.9292388235058472e6,7.294085167989281e-7
0.9,2.581283293777897,0.9139240559889137
0.9,3.9058129860609676,0.5212555247903033
0.9,5.936794315565883,0.30037292726749426
0.9,9.075498430310361,0.17727201948509194
0.9,13.950821128758312,0.10688190873871227
0.9,21.553044183471535,0.06543731962101947
0.9,33.444462502612076,0.040482301044665686
0.9,52.09248772644779,0.025217841467981634
0.9,81.39698253959365,0.015781081003977286
0.9,127.52538178734788,0.009905281451850708
0.9,200.23554479351762,0.006229354752199126
0.9,314.97139628166826,0.00392246300716718
0.9,496.1831714645347,0.0024718853037098685
0.9,782.5882046066325,0.0015584920607894324
0.9,1235.5069009216022,0.0009829905243634634
0.9,1952.0722493740705,0.0006200207912487239
0.9,3086.1623815345743,0.0003911631903950614
0.9,4881.572925943665,0.00024680719487012
0.9,7724.587472105813,0.00015573035208989405
0.9,12227.29005437095,0.00009823962474328136
0.9,19359.59985507785,0.00006199269691129403
0.9,30658.522172911715,0.00003892937626042047
0.9,48559.77891193361,0.000024499500676878365
0.9,76923.39151962765,0.000015573274465691346
0.9,121866.65679442129,9.833742547513666e-6
0.9,193084.30492840652,6.239080717270718e-6
0.9,305940.77477215254,3.917117140218322e-6
0.9,484786.20099049225,2.5222826571064005e-6
0.9,768211.9439785155,1.589084977560967e-6
0.9,1.2173797146791671e6,1.0741130820844223e-6
0.9,1.9292227507841731e6,6.508648056336251e-7
1.,2.5628811099866513,0.8643171743471453
1.,3.882474089071653,0.49294357296480384
1.,5.908153286183844,0.2808855118177048
1.,9.040290826738516,0.16389160338847808
1.,13.907190111450078,0.0978796330947667
1.,21.49855636020286,0.05946785323976748
1.,33.37602680799472,0.03656256651128378
1.,52.00621394689886,0.022663121159565522
1.,81.28798839695439,0.014125783397205147
1.,127.38754817041246,0.008837864414277393
1.,200.06120488792334,0.005543634795285404
1.,314.7509197434459,0.003483476462427988
1.,495.9044629773054,0.002191564181058063
1.,782.2360560136207,0.0013799477002378372
1.,1235.062222332142,0.0008693999056845521
1.,1951.5109507127434,0.0005479485528946939
1.,3085.454205244434,0.0003454648438253267
1.,4880.67979750392,0.0002178564646762108
1.,7723.461498533386,0.00013739518183407791
1.,12225.870826508968,0.0000867053945400429
1.,19357.811558589656,0.00005466235001113765
1.,30656.26911480395,0.000034493349728948936
1.,48556.94063680939,0.000021615252903844533
1.,76919.8146550167,0.00001393229964715998
1.,121862.15452831535,8.804509818676535e-6
1.,193078.64014409774,5.439696821539588e-6
1.,305933.63584264216,3.5142343259054406e-6
1.,484777.2256300088,2.2792810083451435e-6
1.,768200.6226550488,1.396416693441882e-6
1.,1.2173654694652061e6,8.697183724425916e-7
1.,1.9292048210525915e6,5.317530050608071e-7
1.5,2.452978563938326,0.6273026017516956
1.5,3.742432138664365,0.3303147467838424
1.5,5.732975057450196,0.1699004559798939
1.5,8.821257969775528,0.09101944781315865
1.5,13.632276112837097,0.05068136182846507
1.5,21.152163596317926,0.029045088657337154
1.5,32.938358856166104,0.01700317867210849
1.5,51.45235092242284,0.010114928299982862
1.5,80.58664654193763,0.00609216742984247
1.5,126.49947577850673,0.0037048889954809333
1.5,198.93711932600115,0.0022702677947615112
1.5,313.328939592839,0.0013996159119591108
1.5,494.1067903297802,0.0008669853006800079
1.5,779.964902569999,0.0005390207219078293
1.5,1232.1945402400363,0.00033619615308146887
1.5,1947.8919431429133,0.00021017178436607282
1.5,3080.8889905764518,0.0001316348144102339
1.5,4874.923187638972,0.00008258372290047474
1.5,7716.204838683266,0.00005186323982520427
1.5,12216.725621837155,0.000032656841363857864
1.5,19346.288764682195,0.000020506372519599084
1.5,30641.752773493932,0.000012914366774354673
1.5,48538.65583402167,8.135611385982559e-6
1.5,76896.78679162331,5.0708301847456296e-6
1.5,121833.15300271516,3.227246881752869e-6
1.5,193042.11408204984,2.095955895459333e-6
1.5,305887.64841371746,1.2835513250104878e-6
1.5,484719.31983634055,8.07151553228613e-7
1.5,768127.7115914216,5.285234707860663e-7
1.5,1.2172736740647887e6,2.6588714292040624e-7
1.5,1.929089230419145e6,2.005838170679387e-7
1.9,2.348904608791242,0.4225788230305066
1.9,3.6086455654393426,0.18257628433506323
1.9,5.562270409292521,0.0800617085458375
1.9,8.603909304253836,0.03683157194444197
1.9,13.355655336852346,0.017491139946143548
1.9,20.800190630888995,0.008466708979277373
1.9,32.49074637482438,0.004147230012812451
1.9,50.88359886938094,0.0020473622753267593
1.9,79.8647357369455,0.0010163986147330238
1.9,125.58419400323106,0.0005068063456539619
1.9,197.77794035115792,0.0002536666062350146
1.9,311.8623309178483,0.00012740846282379556
1.9,492.25286356406554,0.00006422529679597656
1.9,777.6231110067678,0.000032490137061641885
1.9,1229.2383882062654,0.000016503843355294035
1.9,1944.1621649492695,8.424774318797695e-6
1.9,3076.185215748288,4.321971500497936e-6
1.9,4868.99310823872,2.23008064282651e-6
1.9,7708.730872690086,1.1594766326837633e-6
1.9,12207.30805370423,6.073874850505292e-7
1.9,19334.42381890277,3.2101380126695054e-7
1.9,30626.807333510013,1.736406194285777e-7
1.9,48519.83208684484,9.401109463528446e-8
1.9,76873.08018612915,5.179984563937734e-8
1.9,121803.29875589517,2.8882500089485643e-8
1.9,193004.5222835916,1.631491183353333e-8
1.9,305840.3144812709,9.250634086436157e-9
1.9,484659.72069216083,5.458541598902944e-9
1.9,768052.6687735586,3.194096240068123e-9
1.9,1.2171791901289346e6,1.9254671857830354e-9
1.9,1.9289702780172531e6,1.196810591580444e-9
2.,1.8466877892504463,2.7004720166490213
2.,3.6906800918494156,0.7475760529806295
2.,6.281694337849984,0.3783092832019783
2.,10.317915534041921,0.21430716667330407
2.,16.68426641284951,0.12735668583849147
2.,26.75826165400006,0.07757668405372578
2.,42.715405884625824,0.047915829455528296
2.,68.0004104474572,0.029839224174433174
2.,108.07118596785588,0.01867465046977491
2.,171.57707948342795,0.011723142098113733
2.,272.22589091487396,0.007373178649155479
2.,431.7427276224458,0.004642840948432415
2.,684.5593873783744,0.0029256945581179047
2.,1085.246482972572,0.001844548675135225
2.,1720.2925395810425,0.0011632223416407081
2.,2726.7725897054074,0.0007337456870235063
2.,4321.935892655985,0.00046289299692426716
2.,6850.099303912102,0.000292021499706772
2.,10856.96825328366,0.0001842458902355427
2.,17207.42755493858,0.0001162697079880778
2.,27272.227258977386,0.00007336413041003028
2.,43223.859785718276,0.00004629377803873983
2.,68505.49358115093,0.00002921454579972676
2.,108574.18287477277,0.000018439447763594327
2.,172078.77576514636,0.000011628578119870806
2.,272726.7727258977,7.339757226892774e-6
2.,432243.09794307256,4.6225835816578075e-6
2.,685059.4358657027,2.918658714273484e-6
2.,1.0857463287819216e6,1.840184533094619e-6
2.,1.72079225767304e6,1.1607917002718185e-6
2.,2.7272722272725888e6,7.322289431359991e-7
