"X1","Y1","Z1","X2","Y2","Z2","X3","Y3","Z3","X4","Y4","Z4"
-0.028707608611476847,-0.23682181789347662,0.0038069866725577045,0.020530498665203872,-0.30002875826307457,-0.002102007127756468,-0.04784640036533513,-0.19240425540316008,0.007077035402524734,-0.0013224825431937875,-0.0013224825431937875,0.
-0.019992424415781224,-0.23729744291297947,0.003667831049690222,0.03385988086827238,-0.3013583559560044,-0.0025314691899641795,-0.0414153266332385,-0.1918879948118746,0.007046948975870335,-0.0012810048164340268,-0.0012810048164340268,0.
-0.011293851477327671,-0.23702440859110216,0.0035395311561360818,0.04761322441890731,-0.3021021574802663,-0.002980929144484672,-0.03501341565685763,-0.19128178286068645,0.007019320937388454,-0.0012420613976070994,-0.0012420613976070994,0.
-0.002595278538874195,-0.23675137426922488,0.003411231262581943,0.06158637931784691,-0.30253180158245735,-0.0034419358164927477,-0.028853169481620627,-0.19019080607956226,0.007005589426852359,-0.0012053706652903604,-0.0012053706652903604,0.
0.006092500689394126,-0.23622045820801243,0.0032865879877056977,0.07593128593705414,-0.30242008321584785,-0.00392369747958085,-0.02269292330638357,-0.18909982929843805,0.006991857916316263,-0.0011689657458877436,-0.0011689657458877436,0.
0.014713771990883046,-0.23513677086943158,0.003169489620461187,0.09058106774255735,-0.3018510610985042,-0.004424123492530112,-0.016618556568200455,-0.18783450807911012,0.006983052406822922,-0.001136335880906544,-0.001136335880906544,0.
0.02333504329237197,-0.2340530835308507,0.0030523912532166766,0.10552515431020179,-0.30083308402112036,-0.0049435144468662285,-0.010846695741516414,-0.18611965427801766,0.006987574884034504,-0.0011037060159253445,-0.0011037060159253445,0.
0.0318811483780504,-0.2324986523246325,0.0029415190505312767,0.12096145198749535,-0.2990367978470766,-0.005498253405994356,-0.005074834914832321,-0.18440480047692517,0.006992097361246086,-0.001072740697017341,-0.001072740697017341,0.
0.040348606457937704,-0.2306059262482159,0.002834954176695094,0.13639774966478904,-0.29724051167303284,-0.006052992365122488,0.000604331627115446,-0.1825463639532703,0.007000795592860392,-0.0010445193134222524,-0.0010445193134222524,0.
0.04881606453782508,-0.22871320017179933,0.0027283893028589106,0.15270364597895406,-0.29401942060620906,-0.006676842651268225,0.005916168244193734,-0.18027037316916353,0.007022397648398522,-0.0010162979298271638,-0.0010162979298271638,0.
0.057102840397592225,-0.22614486192968644,0.002630204163682427,0.16906393809271325,-0.290693425648594,-0.007307194113226391,0.011228004861271975,-0.17799438238505677,0.0070439997039366525,-0.0009880765462320755,-0.0009880765462320755,0.
0.0653389214465748,-0.2234532405119099,0.002533441338554546,0.18587901002517287,-0.2865832454198408,-0.00797898203285908,0.016446241999500455,-0.17560440113224912,0.007069035529496629,-0.0009628968514365191,-0.0009628968514365191,0.
0.07355692855688213,-0.22067609738639918,0.0024377493490803327,0.20326016628937968,-0.2814566334142587,-0.008707945188701424,0.02123683260112255,-0.17284090788176262,0.007106286245512093,-0.0009390731757493146,-0.0009390731757493146,0.
0.08148410423688712,-0.21720439553354848,0.002350043104131711,0.22064132255358618,-0.27633002140867663,-0.009436908344543754,0.026027423202744735,-0.17007741463127607,0.007143536961527559,-0.0009152495000621101,-0.0009152495000621101,0.
0.08941127991689196,-0.21373269368069783,0.0022623368591830908,0.2390607113794457,-0.26927010100237947,-0.010279739973757186,0.030728935075631503,-0.16722710215684627,0.0071835219039905465,-0.0008914258243749056,-0.0008914258243749056,0.
0.09721121280318751,-0.20997970115103598,0.0021778009087254813,0.25760470951373987,-0.2619491584052795,-0.011140068993218327,0.03494963509230231,-0.16405849856583873,0.0072347809236522585,-0.0008701873906605747,-0.0008701873906605747,0.
0.10475303310820222,-0.20575540077119528,0.002098411841563653,0.27680731844337775,-0.2533119069545706,-0.01208436411423099,0.03917033510897313,-0.1608898949748312,0.007286039943313971,-0.000849867088611753,-0.000849867088611753,0.
0.11229485341321693,-0.20153110039135455,0.0020190227744018244,0.2965000466238355,-0.24365432422728148,-0.0130958191172162,0.04331111044837201,-0.15765815273357406,0.007339396379686503,-0.0008295467865629314,-0.0008295467865629314,0.
0.11956141758500617,-0.19684952889531987,0.0019445331574700533,0.31665422412835004,-0.23301503630179973,-0.014173180494066776,0.046927464667964824,-0.15417303287047224,0.00740282263195412,-0.00080922648451411,-0.00080922648451411,0.
0.12664362536762905,-0.1919086505450093,0.0018727527659706945,0.33764296038492747,-0.22051552150328269,-0.01537919871378359,0.050543818887557566,-0.1506879130073705,0.007466248884221736,-0.0007911361045454279,-0.0007911361045454279,0.
0.1337258331502519,-0.18696777219469876,0.0018009723744713357,0.35899745463613225,-0.20717104511372797,-0.01664495887701311,0.0540930264488884,-0.1471590154647483,0.007531223793762797,-0.0007736475638884424,-0.0007736475638884424,0.
0.14034853945047446,-0.18141993980217355,0.0017354780233584186,0.3812220929626074,-0.19171011677735514,-0.018063855212114198,0.05708589624736725,-0.14344928288216138,0.007604799708979222,-0.0007561590232314569,-0.0007561590232314569,0.
0.14690007770471614,-0.1758067955678753,0.0016706330858864864,0.4041941042214787,-0.1743316209917799,-0.019624871907502006,0.06007876604584609,-0.13973955029957447,0.007678375624195649,-0.0007386704825744714,-0.0007386704825744714,0.
0.15337285065599876,-0.17008945017358273,0.0016068523579177442,0.42788402370817946,-0.15499243006372285,-0.02133379972126369,0.06301967498867546,-0.1360005573773264,0.0077530530707824365,-0.0007231200214252473,-0.0007231200214252473,0.
0.15932687624879013,-0.16385626363682398,0.0015483136513176304,0.4523275206145686,-0.1334946464845887,-0.023207800165413035,0.06538563945681725,-0.13215835423965738,0.007834595872449838,-0.0007079473625987232,-0.0007079473625987232,0.
0.16528090184158153,-0.15762307710006526,0.0014897749447175164,0.47766135018830014,-0.10925846811711584,-0.02529473113870393,0.06775160392495905,-0.12831615110198838,0.007916138674117239,-0.0006927747037721992,-0.0006927747037721992,0.
0.17097318991444727,-0.15114669490523167,0.0014337026900196725,0.5040491420374871,-0.08149270950539893,-0.027660203006101156,0.07006961431318491,-0.1244543166235461,0.007998540611499107,-0.0006776020449456751,-0.0006776020449456751,0.
0.1762680180992918,-0.14435311757462113,0.0013808869474245418,0.5313939925775043,-0.05016227077602012,-0.03031152938937182,0.07183387929945592,-0.12056877335901706,0.008085631548817312,-0.0006641246830035562,-0.0006641246830035562,0.
