"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^(+)","k_\rho^(-)","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
0,"1/2",-1,1,1,1.5,0.,0.,1.5,0.,0.,0.5773502691896257,0.3333333333333333,-0.888933033240359,-0.00006245352959774694,0.00009011883901724075,0.4714045207910317,0.3333333333333333,0.,0.4714045207910317,0.,0.4714045207910315+1.2904784139758922*^-8*I,0.4714045207910315-1.2904784139758922*^-8*I,-0.408248290463863,-0.28867513459481287,0.,0.,0.,0.5,-0.408248290463863,-0.28867513459481287,0.5,0.1924500897298752
0.,"1/2",-1,1,1,1.5,0.,0.,1.5,0.,0.,0.5773502691896257,0.3333333333333333,-0.888933033240359,-0.00006245352959774694,0.00009011883901724075,0.4714045207910317,0.3333333333333333,0.,0.4714045207910317,0.,0.4714045207910315+1.2904784139758922*^-8*I,0.4714045207910315-1.2904784139758922*^-8*I,-0.408248290463863,-0.28867513459481287,0.,0.,0.,0.5,-0.408248290463863,-0.28867513459481287,0.5,0.1924500897298752
0.19402985074626866,"1/2",-1,1,1,1.495818802413886,0.11191905311472362,0.06467662046860495,1.4999999213683342,0.0746821088458298,-0.04307757665559683,0.5757409840291287,0.3333333524558867,-0.22157192753958865,-0.016578335767995996,3.3176579056194594e-9,0.4452195967328977,0.36757694420143205,0.,0.4714044964035633,-0.0549016461143102,0.4714045722660008,0.47140449628467707,-0.3855715007610418,-0.318330987811237,0.,-0.0237736345131256,0.028795298883078975,0.4999999487758769,-0.4093451352741674,-0.289535688928158,0.4999999487758769,0.19245007001370068
0.3880597014925373,"1/2",-1,1,1,1.4832987746087638,0.22321420633649405,0.12935324117625285,1.4999999455554294,0.149364235022136,-0.08591431949396967,0.5709220932014613,0.33333335349343285,-0.21975243994009722,-0.03306896584781365,3.719198630223938e-9,0.4165526755703602,0.39977140902425745,0.,0.4714045044535364,-0.011866147371648206,0.4714045586146362,0.47140450488772956,-0.3607452111443208,-0.3462122075208201,0.,-0.0517117274868852,0.05388243870566621,0.4999999662545189,-0.41245693863120597,-0.2923297688151539,0.4999999662545189,0.19245007674123338
0.582089552238806,"1/2",-1,1,1,1.462509594686073,0.33326497826391893,0.19402986216860252,1.4999999534286899,0.2240463609264772,-0.1282744135952827,0.562920061615938,0.3333333554630585,-0.2166969915426284,-0.04937983702070235,1.1823610191015247e-8,0.38556353974199126,0.4297372133499964,0.,0.4714045075026642,0.03123550415814169,0.471404563560238,0.4714045003399594,-0.3339078290133664,-0.37216335354731045,0.,-0.08338185227501914,0.07481084047337706,0.49999997302655136,-0.41728968128838556,-0.2973525130739334,0.49999997302655136,0.19245007934779007
0.7761194029850746,"1/2",-1,1,1,1.433567130481681,0.4414578441064984,0.25870648351907194,1.4999999152402104,0.298728487734074,-0.16991772505659505,0.5517801167313059,0.3333333567357404,-0.21235540832858246,-0.06539342509059491,7.54875172838677e-9,0.3524249418081554,0.4573072933747941,0.,0.47140449621443414,0.07416302201956176,0.47140458105941885,0.4714044980932505,-0.30520896771012196,-0.3960397530921886,0.,-0.11830836175661756,0.09117461739960145,0.49999994929166136,-0.42351732946673953,-0.3048651356925871,0.49999994929166136,0.1924500702122262
0.9701492537313433,"1/2",-1,1,1,1.3966328134223607,0.5471896680991449,0.32338310515792346,1.499999916134168,0.3734106152560702,-0.21061277143593782,0.5375644976016438,0.33333335862091223,-0.20688982349588078,-0.08105785807465558,9.0669468417578e-9,0.3173216449074857,0.4823279754701094,0.,0.4714044973560701,0.11667709527954029,0.4714045871819718,0.47140449532502965,-0.2748086184743707,-0.4177082991900061,0.,-0.15597671841205873,0.1026164588640027,0.4999999518155284,-0.43078533688642945,-0.31509184032600346,0.4999999518155284,0.1924500711836632
1.164179104477612,"1/2",-1,1,1,1.3519121289738025,0.6498708236925186,0.38805972727343224,1.499999497317673,0.44809274410248134,-0.2501346503700689,0.5203517683963458,0.33333336271961683,-0.20019574904606405,-0.09623527447232619,3.8358099298370546e-8,0.28044925496745643,0.5046596213594093,0.,0.4714043667573391,0.15854067048807033,0.4714048516977975,0.4714043665506503,-0.24287625770782476,-0.4370481935002618,0.,-0.19583807503064596,0.10883106139670841,0.49999967478945806,-0.4387143327384707,-0.3282171321035534,0.49999967478945806,0.19244996455626384
1.3582089552238805,"1/2",-1,1,1,1.2996553017727215,0.7489292890247785,0.45273635080605246,1.4999996611283297,0.522774868017162,-0.288267226125715,0.5002351248826337,0.3333333721060525,-0.19251371158923852,-0.11093688883814161,2.272124869431682e-8,0.242013525887001,0.5241780675197321,0.,0.47140441946352596,0.19952046079889801,0.4714047521503028,0.4714044196170517,-0.2095899055393685,-0.4539516180123149,0.,-0.23731446546145207,0.10956832055578694,0.4999997866480678,-0.4469043710008206,-0.34438329745652796,0.4999997866480678,0.1924500076106715
1.5522388059701493,"1/2",-1,1,1,1.2401531906928278,0.8438126883818585,0.5174129748535281,1.4999999298199387,0.5974569965086026,-0.324783023389947,0.47733561274749864,0.33333336385610224,-0.18387989098053775,-0.12510423624709657,-1.0775919727214494e-7,0.20222861594524358,0.5407743540878349,0.,0.4714045052852698,0.23938798718243157,0.4714045864277249,0.4714045061825048,-0.17513512355854505,-0.46832434113137145,0.,-0.2798036672730818,0.10463570977674011,0.4999999685783832,-0.45493879083162686,-0.36368863135463136,0.4999999685783832,0.1924500776356891
