"X1","Y1","Z1"
-93.40895146630395,-35.58694852078886,-0.3595522901846206
-93.30440850626202,-35.5527571020737,-0.35954396292181756
-93.19986034616682,-35.518563982437804,-0.3595356119039514
-93.0953069774198,-35.48436915906781,-0.3595272370388267
-92.99074839142204,-35.45017262915026,-0.35951883823424813
-92.88618457957503,-35.415974389871785,-0.3595104153980202
-92.78161553328007,-35.381774438419,-0.3595019684379474
-92.67704124393853,-35.347572771978506,-0.35949349726183444
-92.57246170295186,-35.31336938773695,-0.3594850017774858
-92.46787690172113,-35.279164282880856,-0.35947648189270615
-92.36328683164783,-35.24495745459687,-0.35946793751529993
-92.25869148413328,-35.2107489000716,-0.3594593685530718
-92.15409085047332,-35.17653861645712,-0.3594507749118588
-92.04948492098016,-35.14232660058351,-0.359442156478719
-91.94487368617474,-35.108112849349155,-0.3594335131438557
-91.84025713671849,-35.07389735969841,-0.3594248448000179
-91.73563526327268,-35.039680128575604,-0.3594161513399547
-91.63100805649862,-35.00546115292506,-0.3594074326564152
-91.52637550705768,-34.97124042969113,-0.3593986886421486
-91.42173760561094,-34.937017955818064,-0.3593899191899038
-91.31709434281979,-34.90279372825022,-0.35938112419243
-91.21244570934552,-34.86856774393192,-0.35937230354247623
-91.10779169584943,-34.834339999807476,-0.35936345713279166
-91.0031322929929,-34.80011049282127,-0.35935458485612537
-90.898467491437,-34.76587921991752,-0.35934568660522637
-90.79379728184314,-34.731646178040606,-0.3593367622728438
-90.6891216548726,-34.697411364134844,-0.35932781175172673
-90.58444060118666,-34.66317477514455,-0.3593188349346243
-90.47975411144672,-34.628936408014084,-0.35930983171428554
-90.37506217631386,-34.5946962596877,-0.3593008019834596
-90.27036478644946,-34.560454327109746,-0.3592917456348955
-90.16566193251481,-34.52621060722455,-0.3592826625613424
-90.0609536051712,-34.49196509697643,-0.35927355265554933
-89.95623979508005,-34.45771779330975,-0.3592644158102654
-89.8515204929024,-34.42346869316874,-0.3592552519182397
-89.74679568929965,-34.389217793497785,-0.35924606087222133
-89.64206537493416,-34.35496509124154,-0.35923684256500465
-89.5373295403542,-34.320710583307346,-0.3592275968877992
-89.43258817563371,-34.28645426644722,-0.3592183237210789
-89.32784127074392,-34.25219613737954,-0.3592090229426094
-89.2230888156564,-34.21793619282279,-0.3591996944301564
-89.11833080034258,-34.183674429495404,-0.3591903380614856
-89.01356721477393,-34.14941084411584,-0.35918095371436265
-88.90879804892201,-34.11514543340258,-0.3591715412665533
-88.80402329275805,-34.08087819407399,-0.35916210059582326
-88.69924293625358,-34.04660912284855,-0.3591526315799381
-88.5944569693801,-34.01233821644471,-0.35914313409666365
-88.48966538210904,-33.97806547158092,-0.3591336080237655
-88.38486816441196,-33.94379088497566,-0.3591240532390094
-88.28006530626007,-33.90951445334729,-0.359114469620161
-88.17525679762494,-33.875236173414315,-0.35910485704498607
