"t","\chi","\alpha","x","y","z","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","\dot k_x","\dot k_y","\dot k_z","\ddot k_x","\ddot k_y","\ddot k_z","s_x","s_y","s_z","\dot s_x","\dot s_y","\dot s_z","L_x","L_y","L_z","\dot L_x","\dot L_y","\dot L_z","J_x","J_y","J_z","\dot J_x","\dot J_y","\dot J_z"
0.,1,"1/2",3.46,-10.,0.,-0.11314837361636353,1.1053285231055088,0.580555880847494,-0.007715039409758059,0.022409155555152674,0.04096485750361298,0.,0.15,0.1,0.0020198532611357053,-0.0014799959105158585,0.,0.0018505756003559433,-0.0003517836853351159,0.,0.,0.4160251471689218,0.2773500981126146,0.005602065001490723,-0.0012630061876548982,0.001894509281482346,-1.,-0.34600000000000003,0.519,0.023449470183426788,0.011314837361636354,-0.0018945092814823435,-1.,0.07002514716892178,0.7963500981126146,0.029051535184917515,0.010051831173981455,0.
0.13333333333333333,1,"1/2",3.4448963884979533,-9.852573241391006,0.07749945127358682,-0.11340586127315383,1.1060716090156273,0.5819423186989785,-0.001932515066024854,0.005542767509909165,0.0105536234975928,0.0002734882078312352,0.14980189344459682,0.1,0.002082884232964008,-0.0014915465980007993,0.,0.0004827520818839517,-0.00008525928415138343,0.,0.0007592129743744175,0.41585537449999915,0.27760355022067884,0.0057873763561879805,-0.0012836679058682763,0.0019071310366542936,-0.9968668886808013,-0.3444684436637586,0.5187465643157608,0.023546693727810805,0.011661162874238637,-0.0019073643186293572,-0.9961076757064269,0.07138693083624054,0.7963501145364397,0.02933407008399879,0.01037749496837036,-2.3328197506361503e-7
0.26666666666666666,1,"1/2",3.429758422376593,-9.705047979401401,0.15518667642571557,-0.11366362903613772,1.1068057115157075,0.5833736428487625,-0.0019329696441892506,0.00546981774537819,0.010902084601002528,0.0005555687411059063,0.1496022727115129,0.1,0.002148816912341432,-0.001502691603716366,0.,0.0005053788691158703,-0.00008196075874444692,0.,0.0015436956538482684,0.4156828149310194,0.2778586229987332,0.005981333275939068,-0.0013048060700335453,0.0019187891172654768,-0.9937210774279734,-0.34288962537120105,0.5184914761272799,0.023639746057075032,0.01202393481883926,-0.001918741835098138,-0.9921773817741252,0.07279318955981834,0.7963500991260131,0.0296210793330141,0.010719128748805715,4.7282167337653336e-8
0.4,1,"1/2",3.414586097385991,-9.557425500331389,0.23306777177267293,-0.11392116884113071,1.1075296339978922,0.584850646571377,-0.0019299701426177716,0.0053885071629681276,0.011253673781137572,0.0008466377767607922,0.14940119601777793,0.1,0.0022177350790591956,-0.0015133751977659084,0.,0.0005284507297072423,-0.00007826922932299685,0.,0.0023546281701049975,0.41550740404799,0.2781151792108458,0.0061841925758621035,-0.0013264399858031956,0.0019293594927131325,-0.9905631538891748,-0.3412612857584709,0.5182349243323013,0.0237282962954541,0.012404156108521793,-0.0019293474164732566,-0.9882085257190698,0.0742461182895191,0.7963501035431471,0.0299124888713162,0.011077716122718599,1.2076239876146477e-8
0.5333333333333333,1,"1/2",3.3993794789177096,-9.409707275891009,0.31114899932798745,-0.11417795036922786,1.1082416618531,0.586375925220163,-0.00192144999307429,0.005291173821464127,0.011626277360808403,0.0011471070035366467,0.14919873026456767,0.1,0.0022898446800364305,-0.001523516396408092,0.,0.0005532642866154996,-0.00007380919286100989,0.,0.0031932369026924272,0.415329075532447,0.2783730630924016,0.006396549506362126,-0.0013485737798166744,0.0019386796887951975,-0.9873937632119275,-0.3395810266954984,0.5179770430593543,0.023811663286952736,0.012802913848257966,-0.0019387192185676139,-0.984200526309235,0.07574804883694863,0.7963501061517559,0.030208212793314867,0.011454340068441291,-3.952977241372668e-8
0.6666666666666666,1,"1/2",3.3841387098201303,-9.261895011174907,0.3894369495856503,-0.11443330729086833,1.1089398874846816,0.5879519451997018,-0.0019089038315325785,0.005182210652262356,0.012014022332273356,0.0014574147842167174,0.14899495353818795,0.1,0.0023653514194543657,-0.001533022937870604,0.,0.0005793368046535373,-0.00006878892907666921,0.,0.004060825364745548,0.41514776239362494,0.2786320962791677,0.006618997783810433,-0.0013712089690210288,0.0019465659140361178,-0.9842136413270584,-0.3378462998141667,0.517718012555583,0.02388913176732053,0.013221375827920254,-0.0019464964454221217,-0.9801528159623129,0.07730146257945825,0.7963501088347507,0.03050812955113096,0.011850166858899225,6.946861399320658e-8
0.8,1,"1/2",3.368864016036115,-9.113990646965362,0.46793851455921737,-0.11468665275805678,1.1096227101925114,0.5895806726871539,-0.0018896419989641656,0.0050554829086902715,0.012422844128068029,0.0017780247514276619,0.1487899553983904,0.1,0.0024444231980690952,-0.0015418150467815665,0.,0.0006072385790712337,-0.00006286664070269719,0.,0.0049587701504371084,0.41496339627554657,0.27889207652792647,0.006852024662035863,-0.0013943646071193998,0.0019528437825589698,-0.9810236154069912,-0.3360543953425789,0.5174580276438406,0.023960063669092518,0.013660794065065355,-0.0019528736581890492,-0.9760648452565541,0.07890900093296765,0.7963501041717671,0.030812088331128383,0.012266429457945954,-2.9875630080944404e-8
0.9333333333333333,1,"1/2",3.3535557296937886,-8.965996410169947,0.5466609330806794,-0.11493712228618226,1.1102877899008197,0.5912649625370247,-0.0018654014632461403,0.0049159446316275794,0.01284655063837192,0.00210943033882987,0.14858383977011203,0.1,0.0025273046546757136,-0.0015497755797995796,0.,0.0006364481466286213,-0.00005628361870020727,0.,0.005888533283679225,0.4147759088306786,0.27915277292094304,0.007096328519751771,-0.0014180370543985178,0.0019572817980496302,-0.9778246215064342,-0.3342024298120854,0.5171973320464152,0.024023562299318294,0.014122523199585103,-0.0019573280244051805,-0.971936088222755,0.08057347901859319,0.7963501049673583,0.031119890819070063,0.012704486145186586,-4.6226355548961706e-8
1.0666666666666667,1,"1/2",3.338214290773285,-8.817914806918905,0.6256117699571246,-0.11518377104141757,1.1109327637046829,0.5930074679367436,-0.0018343298652834753,0.0047586624263192285,0.013291030357413084,0.002452153540885207,0.14837672492959378,0.1,0.0026142328604517547,-0.0015567805108147007,0.,0.0006674749400120006,-0.00004879034652660602,0.,0.006851658450159282,0.4145852305821832,0.2794139247775606,0.007352583790850253,-0.0014422257302140386,0.0019596306608096214,-0.9746177061955351,-0.3322873329604087,0.5169361845951169,0.02407871063002871,0.014608017313321514,-0.0019595527222570283,-0.9677660477453758,0.08229789762177453,0.7963501093726775,0.031431294420878955,0.013165791583107475,7.793855259438653e-8
1.2,1,"1/2",3.3228402630680383,-8.669748655396086,0.7047989424893204,-0.11542570085660414,1.1115554070688904,0.5948106365150202,-0.0017930189360328207,0.004576879814394911,0.013761246609500658,0.0028067477631073443,0.14816874549760536,0.1,0.002705429110576305,-0.0015627113823597656,0.,0.0007008869700768804,-0.0000399603199994586,0.,0.007849778481246602,0.41439129133312297,0.2796752378117558,0.0076214174220402935,-0.0014669442834871023,0.001959638978981485,-0.9714040406762902,-0.3303058334515315,0.5166748709129602,0.024124592215529553,0.015118837085285407,-0.0019595868536367855,-0.9635542621950436,0.08408545788159144,0.796350108724716,0.03174600963756986,0.013651892801798304,5.2125344700282294e-8
